iris,taux_pauvrete_pre,com
103230101,22.9763543080916,10323
103230102,27.071446009290913,10323
103230104,,10323
103230201,20.783714158888277,10323
103230202,16.088798360675604,10323
103330101,,10333
103330102,10.916553008498104,10333
103330103,,10333
103330201,28.196615506663772,10333
103330202,12.832130707628451,10333
103870201,,10387
103870202,19.996875374165807,10387
103870203,12.356811441336655,10387
103870204,19.227076354006375,10387
103870301,29.417332579961812,10387
103870302,26.626314900180137,10387
103870401,23.313542714904514,10387
103870501,21.574279822761863,10387
103870601,21.64463476368417,10387
103870603,17.086912238196863,10387
103870702,14.407734337753197,10387
103870801,36.277952265965496,10387
103870802,12.860311224772834,10387
103870901,11.527978819923726,10387
103871001,49.38050836483027,10387
103871002,28.13243428990774,10387
103871003,49.937730491200035,10387
103871004,16.65750519642029,10387
103871101,20.484969715582306,10387
103871102,20.161420223044075,10387
103871103,17.574825613147706,10387
103871104,31.143631342003896,10387
110690101,27.53463016360565,11069
110690102,43.78567055173874,11069
110690103,36.79919125423553,11069
110690201,22.16113759693179,11069
110690202,27.561411341271384,11069
110690203,27.125231520984627,11069
110690301,40.465193121379535,11069
110690302,28.03225993847923,11069
110690401,30.77772180944626,11069
110690402,23.771750337346816,11069
110690501,14.089017404469582,11069
110690702,22.691826536645493,11069
110690703,12.323906018186394,11069
110690903,17.06399984707774,11069
110690904,21.010343680585553,11069
112030102,19.25664522387497,11203
112030104,27.27283679112565,11203
112030106,30.32400688918147,11203
112060101,37.859214852536404,11206
112060102,23.017370735127404,11206
112060103,12.962478220578955,11206
112060104,18.92050456966284,11206
112620101,44.855607168999484,11262
112620102,39.17913560021325,11262
112620103,18.07106071569747,11262
112620104,13.226303095471232,11262
112620201,32.60502168966208,11262
112620202,21.323757645298542,11262
112620203,,11262
112620206,14.170472758636025,11262
112620301,28.341180846376616,11262
112620302,25.68546592281624,11262
112620303,,11262
112620304,17.62827523393882,11262
112620305,15.729087651302434,11262
112620401,21.278180397214307,11262
112620402,16.412744803820665,11262
112620403,,11262
112620501,26.571233014709964,11262
112620502,25.72529995646985,11262
112620503,56.58787455784918,11262
112620504,24.684250861452643,11262
112620505,25.025495476744194,11262
121760201,18.400231571450878,12176
121760301,,12176
123000102,13.489577152538777,12300
123000103,23.555230431602,12300
123000104,11.4597544338336,12300
