iris,com,libcom,taux_pauvrete,revenu_median,annee
027220103,02722,Soissons,43.9569536423841,12622.6666666667,2012
027220201,02722,Soissons,21.7665615141956,16025.3846153846,2012
027220301,02722,Soissons,,22360.0,2012
027220401,02722,Soissons,37.3460376481525,13509.5833333333,2012
027220501,02722,Soissons,,21176.0,2012
027220502,02722,Soissons,19.3783935592586,17720.6666666667,2012
027220503,02722,Soissons,13.6983632112237,19323.3333333333,2012
027220601,02722,Soissons,,12169.0909090909,2012
027220701,02722,Soissons,15.5578947368421,18378.5,2012
027220801,02722,Soissons,25.5493842067134,15116.0,2012
027220901,02722,Soissons,16.2332744256501,19046.4,2012
027380101,02738,Tergnier,22.3554301833568,16186.4130434783,2012
027380102,02738,Tergnier,23.4797891036907,15362.0,2012
027380201,02738,Tergnier,24.283269148481,16403.3333333333,2012
027380301,02738,Tergnier,21.8349358974359,16776.0,2012
027380302,02738,Tergnier,34.7349177330896,14094.25,2012
027380401,02738,Tergnier,20.9047687653076,16589.0,2012
028100102,02810,Villers-Cotterêts,13.9946640795537,18418.0952380952,2012
028100202,02810,Villers-Cotterêts,13.7025137025137,18706.875,2012
028100302,02810,Villers-Cotterêts,7.83986655546289,18789.6,2012
028100401,02810,Villers-Cotterêts,29.7031506100892,14724.7826086957,2012
030950101,03095,Cusset,22.5774717166749,16453.0,2012
030950102,03095,Cusset,18.2496413199426,18073.3333333333,2012
030950103,03095,Cusset,27.6036400404449,15541.4285714286,2012
030950106,03095,Cusset,,21135.0,2012
030950111,03095,Cusset,13.2943925233645,18567.5,2012
031850101,03185,Montluçon,18.8390313390313,19107.3333333333,2012
031850102,03185,Montluçon,17.6788685524126,17871.6666666667,2012
031850103,03185,Montluçon,16.6573348264278,17827.3333333333,2012
031850104,03185,Montluçon,15.8818367943843,17257.0,2012
031850105,03185,Montluçon,29.0548098434004,15244.6666666667,2012
031850106,03185,Montluçon,31.2620495328489,14776.5217391304,2012
031850108,03185,Montluçon,16.2933597621407,18596.5217391304,2012
031850110,03185,Montluçon,11.8139385160148,20390.6666666667,2012
031850111,03185,Montluçon,10.1107706811218,21191.3333333333,2012
031850112,03185,Montluçon,,19860.0,2012
031850113,03185,Montluçon,28.4218129288552,15209.0476190476,2012
031850114,03185,Montluçon,16.403785488959,18055.652173913,2012
031850115,03185,Montluçon,33.7513061650993,14619.0,2012
031850116,03185,Montluçon,18.0052666227781,17805.3333333333,2012
031850117,03185,Montluçon,24.7811284046693,15650.0,2012
031900101,03190,Moulins,20.8695652173913,17331.0,2012
031900102,03190,Moulins,14.8088660456152,18494.0,2012
031900103,03190,Moulins,,17424.0,2012
031900104,03190,Moulins,23.68177613321,16549.0,2012
031900105,03190,Moulins,10.8657019548109,20109.3333333333,2012
031900106,03190,Moulins,14.1352549889135,20628.6666666667,2012
031900107,03190,Moulins,,15325.0,2012
031900108,03190,Moulins,33.1616700386242,14407.0,2012
031900109,03190,Moulins,11.5965924704589,18713.8888888889,2012
033100101,03310,Vichy,24.1024606696248,17472.6666666667,2012
033100102,03310,Vichy,26.2652146060218,15914.0,2012
033100103,03310,Vichy,24.5597602098164,15949.5,2012
033100104,03310,Vichy,12.4408572223768,18316.0,2012
033100105,03310,Vichy,19.7241379310345,17756.6666666667,2012
033100106,03310,Vichy,12.275307473983,23160.8695652174,2012
033100107,03310,Vichy,12.4404853325142,20945.5555555556,2012
033100108,03310,Vichy,12.2647237401336,19453.0,2012
033100109,03310,Vichy,39.3519663616127,13539.0,2012
033100110,03310,Vichy,15.6594078786396,17874.6666666667,2012
033210101,03321,Yzeure,,21219.1666666667,2012
033210102,03321,Yzeure,6.22145414146402,20870.6666666667,2012
033210103,03321,Yzeure,17.8010471204188,18496.0,2012
033210104,03321,Yzeure,,21943.3333333333,2012
033210105,03321,Yzeure,,22838.8,2012
040700101,04070,Digne-les-Bains,12.0300751879699,18535.4761904762,2012
040700102,04070,Digne-les-Bains,25.6236442516269,16406.9565217391,2012
040700103,04070,Digne-les-Bains,12.568306010929,20713.3333333333,2012
040700104,04070,Digne-les-Bains,14.3578097400959,18579.5,2012
040700105,04070,Digne-les-Bains,13.4185913342241,19262.0,2012
040700106,04070,Digne-les-Bains,,22087.3333333333,2012
040700107,04070,Digne-les-Bains,36.5267880707311,13687.8571428571,2012
040700108,04070,Digne-les-Bains,15.5163599182004,18912.5,2012
041120101,04112,Manosque,35.1149266131266,13792.9166666667,2012
041120102,04112,Manosque,19.6747967479675,16623.5714285714,2012
041120103,04112,Manosque,22.6736752379599,16824.6666666667,2012
041120104,04112,Manosque,11.6620111731844,20059.0476190476,2012
041120105,04112,Manosque,,21136.5,2012
041120106,04112,Manosque,12.2566099610576,20060.0,2012
041120107,04112,Manosque,34.1736694677871,14342.0,2012
041120108,04112,Manosque,13.9061421670117,21007.6923076923,2012
041120109,04112,Manosque,10.0744132799084,22029.2307692308,2012
050230102,05023,Briançon,15.5387818844352,17495.7142857143,2012
050230103,05023,Briançon,10.7984790874525,18958.0,2012
050230104,05023,Briançon,12.5246018965826,19530.0,2012
050230105,05023,Briançon,12.6174924326908,18918.3870967742,2012
050610101,05061,Gap,26.8247326824733,15737.0,2012
050610102,05061,Gap,14.630021141649,18907.3333333333,2012
050610103,05061,Gap,10.0907873195416,20310.0,2012
050610104,05061,Gap,6.79866064929393,21630.9523809524,2012
050610105,05061,Gap,16.2585205756122,18867.7777777778,2012
050610106,05061,Gap,24.5746284729701,16029.3333333333,2012
050610107,05061,Gap,13.9700279400559,17575.4166666667,2012
050610108,05061,Gap,16.7989118113806,18860.9523809524,2012
050610109,05061,Gap,9.57701516360734,22326.5,2012
050610110,05061,Gap,16.8841988336573,17656.0,2012
050610111,05061,Gap,17.6133260513381,17539.6394230769,2012
050610112,05061,Gap,12.6430662762843,19423.3333333333,2012
050610113,05061,Gap,11.5657281750051,19438.0,2012
050610114,05061,Gap,8.64375385881869,20314.8717948718,2012
050610115,05061,Gap,22.8508449669361,17318.6666666667,2012
050610116,05061,Gap,8.94002263296869,19763.3333333333,2012
050610201,05061,Gap,,20754.0,2012
060040102,06004,Antibes,,21482.7777777778,2012
060040103,06004,Antibes,,25849.3333333333,2012
060040104,06004,Antibes,,25333.3333333333,2012
060040105,06004,Antibes,8.48883048620237,25257.0,2012
060040106,06004,Antibes,12.1473354231975,22197.2,2012
060040107,06004,Antibes,16.5797705943691,19448.0,2012
060040108,06004,Antibes,13.3885958301934,19327.6923076923,2012
060040109,06004,Antibes,10.4605845881311,20458.2608695652,2012
060040110,06004,Antibes,,23344.4,2012
060040111,06004,Antibes,15.3106395970081,19784.0,2012
060040112,06004,Antibes,10.2008928571429,22070.6666666667,2012
060040114,06004,Antibes,14.2959256611866,19584.2857142857,2012
060040115,06004,Antibes,26.2388943731491,17133.0,2012
060040116,06004,Antibes,10.5632832943121,21853.3333333333,2012
060040117,06004,Antibes,10.6026222894604,22519.1666666667,2012
060040118,06004,Antibes,11.9630812921548,20442.0,2012
060040119,06004,Antibes,7.67277856135402,21681.0,2012
060040120,06004,Antibes,12.4792932081723,20843.3333333333,2012
060040121,06004,Antibes,,22581.3333333333,2012
060040122,06004,Antibes,9.57142857142857,23904.0,2012
060040123,06004,Antibes,15.4804090310823,19102.6666666667,2012
060040124,06004,Antibes,13.5456686082538,21524.0,2012
060040125,06004,Antibes,20.2564418690667,18701.4285714286,2012
060040126,06004,Antibes,18.1226967266421,18423.3333333333,2012
060120101,06012,Beausoleil,15.060364231635,20512.1739130435,2012
060120102,06012,Beausoleil,19.8867084766336,18275.8333333333,2012
060120103,06012,Beausoleil,15.9773371104816,18243.0,2012
060120104,06012,Beausoleil,12.8912823964995,19418.8,2012
060120105,06012,Beausoleil,18.0286879852612,18196.8,2012
060270101,06027,Cagnes-sur-Mer,21.1064621106462,17290.0,2012
060270102,06027,Cagnes-sur-Mer,17.766072069915,17678.0,2012
060270103,06027,Cagnes-sur-Mer,12.4398073836276,21028.0952380952,2012
060270104,06027,Cagnes-sur-Mer,8.08635917566241,23762.2222222222,2012
060270105,06027,Cagnes-sur-Mer,10.3978671041838,22822.0,2012
060270107,06027,Cagnes-sur-Mer,14.7454431175361,18630.0,2012
060270108,06027,Cagnes-sur-Mer,13.3194588969823,19290.8,2012
060270109,06027,Cagnes-sur-Mer,9.56175298804781,22259.3333333333,2012
060270110,06027,Cagnes-sur-Mer,9.97527991856914,21316.6666666667,2012
060270111,06027,Cagnes-sur-Mer,10.4043715846995,22547.5,2012
060270112,06027,Cagnes-sur-Mer,7.35101506221349,24385.0,2012
060270113,06027,Cagnes-sur-Mer,7.54275244299674,23091.4285714286,2012
060270114,06027,Cagnes-sur-Mer,10.8700920988851,21207.0,2012
060270115,06027,Cagnes-sur-Mer,,24429.0,2012
060270116,06027,Cagnes-sur-Mer,16.4790174002047,19176.0,2012
060270117,06027,Cagnes-sur-Mer,14.749362786746,19321.6666666667,2012
060290101,06029,Cannes,14.5566727605119,23756.5217391304,2012
060290102,06029,Cannes,16.0553633217993,21015.4230769231,2012
060290103,06029,Cannes,12.9798308392973,25038.0,2012
060290104,06029,Cannes,17.2078639275458,22125.0,2012
060290105,06029,Cannes,19.047619047619,18266.1904761905,2012
060290106,06029,Cannes,14.2965779467681,25115.0,2012
060290107,06029,Cannes,16.9802661771455,18898.8888888889,2012
060290108,06029,Cannes,27.9979501195764,15547.3333333333,2012
060290109,06029,Cannes,24.7266479225242,16888.5,2012
060290110,06029,Cannes,21.6875635377838,17935.2,2012
060290111,06029,Cannes,20.1620442505453,20508.0,2012
060290112,06029,Cannes,19.3921568627451,18608.0,2012
060290113,06029,Cannes,13.7725823591923,21206.5,2012
060290114,06029,Cannes,15.6068204613842,19679.3333333333,2012
060290115,06029,Cannes,19.8174706649283,19594.4444444444,2012
060290116,06029,Cannes,23.2027896995708,17117.0,2012
060290117,06029,Cannes,24.934036939314,17512.1666666667,2012
060290118,06029,Cannes,21.6499650431135,16640.0,2012
060290119,06029,Cannes,15.841086245914,19260.0,2012
060290120,06029,Cannes,11.3924050632911,21475.3333333333,2012
060290121,06029,Cannes,13.3449629306585,24751.3333333333,2012
060290122,06029,Cannes,11.9261926192619,21304.6666666667,2012
060290123,06029,Cannes,15.3219757848495,17912.4,2012
060290125,06029,Cannes,20.0734394124847,17608.0,2012
060290126,06029,Cannes,14.1703740319657,18104.0,2012
060290127,06029,Cannes,19.3877551020408,16774.3333333333,2012
060290128,06029,Cannes,,13820.0,2012
060290130,06029,Cannes,22.5121133060007,16085.0,2012
060290131,06029,Cannes,20.5514239071286,16063.0769230769,2012
060290132,06029,Cannes,15.8435799234025,17289.0,2012
060300101,06030,Le Cannet,19.2321755027422,16665.3333333333,2012
060300102,06030,Le Cannet,13.4642032332564,19729.5652173913,2012
060300103,06030,Le Cannet,12.1619728177105,19170.0,2012
060300104,06030,Le Cannet,11.4203454894434,20758.3333333333,2012
060300105,06030,Le Cannet,11.3131313131313,19052.0,2012
060300106,06030,Le Cannet,12.8531073446328,20257.3913043478,2012
060300107,06030,Le Cannet,14.4485608435452,18723.3333333333,2012
060300108,06030,Le Cannet,12.4356542942292,21122.5,2012
060300109,06030,Le Cannet,17.4413457281983,18166.1111111111,2012
060300110,06030,Le Cannet,19.2224622030238,18910.6666666667,2012
060300111,06030,Le Cannet,18.8815789473684,18934.0,2012
060300112,06030,Le Cannet,15.8841347974252,19789.3333333333,2012
060300113,06030,Le Cannet,22.9251012145749,17101.3333333333,2012
060300114,06030,Le Cannet,17.2406639004149,19340.0,2012
060300115,06030,Le Cannet,15.5243243243243,20850.8,2012
060300116,06030,Le Cannet,18.3715537232672,19695.2380952381,2012
060300117,06030,Le Cannet,21.3268292682927,25179.5652173913,2012
060330101,06033,Carros,,21194.5,2012
060330102,06033,Carros,19.583131362094,16558.6666666667,2012
060330103,06033,Carros,25.6417489421721,15444.0,2012
060330105,06033,Carros,7.00786315353842,23801.3333333333,2012
060690101,06069,Grasse,21.0746182656295,17390.6666666667,2012
060690102,06069,Grasse,11.7850492152168,20944.0,2012
060690103,06069,Grasse,18.5087108013937,18508.4615384615,2012
060690104,06069,Grasse,8.29003579263365,22626.0,2012
060690105,06069,Grasse,10.109806891329,18316.0,2012
060690106,06069,Grasse,18.7074829931973,17984.7826086957,2012
060690107,06069,Grasse,14.1324829685462,20670.5555555556,2012
060690108,06069,Grasse,9.16417910447761,21367.3076923077,2012
060690109,06069,Grasse,22.9637603157517,15631.4285714286,2012
060690110,06069,Grasse,9.24313462826524,21794.8275862069,2012
060690111,06069,Grasse,49.5911321097583,11929.5,2012
060690112,06069,Grasse,13.3868243243243,22234.0,2012
060690113,06069,Grasse,17.9444576311417,17956.1904761905,2012
060690114,06069,Grasse,5.30574346730336,25658.5714285714,2012
060690115,06069,Grasse,,23667.3333333333,2012
060690116,06069,Grasse,11.4957833999112,22206.0,2012
060690117,06069,Grasse,,23519.0,2012
060790102,06079,Mandelieu-la-Napoule,,20031.0,2012
060790103,06079,Mandelieu-la-Napoule,11.4757244290923,22221.1111111111,2012
060790104,06079,Mandelieu-la-Napoule,7.92932242990654,26442.8,2012
060790105,06079,Mandelieu-la-Napoule,11.7784711388456,22239.6666666667,2012
060790106,06079,Mandelieu-la-Napoule,13.5708566853483,21610.5,2012
060790107,06079,Mandelieu-la-Napoule,18.5163465767483,18619.5,2012
060790108,06079,Mandelieu-la-Napoule,11.7350718624981,20646.6666666667,2012
060790109,06079,Mandelieu-la-Napoule,11.1914543960559,20145.0,2012
060830101,06083,Menton,14.2218437300405,20777.2222222222,2012
060830102,06083,Menton,14.5779579800958,19756.0,2012
060830103,06083,Menton,11.7560462670873,21122.0,2012
060830104,06083,Menton,14.9552176629869,18898.0,2012
060830105,06083,Menton,23.7092391304348,16717.5,2012
060830106,06083,Menton,14.9829497016198,19391.6666666667,2012
060830201,06083,Menton,9.49581731856206,21321.1111111111,2012
060830202,06083,Menton,10.9692671394799,19693.4782608696,2012
060830203,06083,Menton,15.2972811472961,21619.5,2012
060830204,06083,Menton,12.9337539432177,20108.0,2012
060830205,06083,Menton,13.0956646363311,19050.9677419355,2012
060830206,06083,Menton,16.0359281437126,18578.6666666667,2012
060840101,06084,Mouans-Sartoux,,27381.3333333333,2012
060840102,06084,Mouans-Sartoux,9.25587069228423,22863.8888888889,2012
060840103,06084,Mouans-Sartoux,,25030.8,2012
060840104,06084,Mouans-Sartoux,10.7938718662953,22841.5619047619,2012
060850101,06085,Mougins,11.8597924110941,22636.0,2012
060850102,06085,Mougins,9.51919348584723,23286.5384615385,2012
060850103,06085,Mougins,,25572.0,2012
060850104,06085,Mougins,10.6085799800466,22694.8,2012
060850105,06085,Mougins,9.66717095310136,25457.3333333333,2012
060850107,06085,Mougins,10.1277584204413,25822.2222222222,2012
060850108,06085,Mougins,,24089.3333333333,2012
060880101,06088,Nice,17.9301252471984,21473.5,2012
060880102,06088,Nice,28.1081081081081,15839.0,2012
060880103,06088,Nice,26.4867841409692,16648.6666666667,2012
060880201,06088,Nice,15.2697095435685,19185.3333333333,2012
060880202,06088,Nice,16.1508704061896,19485.0,2012
060880203,06088,Nice,19.5958745527257,18012.8571428571,2012
060880204,06088,Nice,18.8517566409597,18508.0,2012
060880205,06088,Nice,14.1165959347778,19314.0,2012
060880206,06088,Nice,18.4556119768867,18414.5454545455,2012
060880301,06088,Nice,23.0543649898489,16620.0,2012
060880302,06088,Nice,25.4318181818182,16326.0,2012
060880303,06088,Nice,15.6304186276938,18744.6666666667,2012
060880304,06088,Nice,18.4948979591837,17790.0,2012
060880305,06088,Nice,20.5439814814815,17584.8666666667,2012
060880401,06088,Nice,10.6106106106106,30837.6666666667,2012
060880402,06088,Nice,11.7036609974056,22843.0,2012
060880403,06088,Nice,7.15482573726542,24474.5,2012
060880404,06088,Nice,,26635.3333333333,2012
060880501,06088,Nice,18.2125473228772,17643.7777777778,2012
060880502,06088,Nice,17.5,17638.0,2012
060880503,06088,Nice,12.3935454952936,19409.3333333333,2012
060880504,06088,Nice,13.9551804423749,18234.2857142857,2012
060880505,06088,Nice,15.0493421052632,18725.6,2012
060880506,06088,Nice,19.35546875,17161.5384615385,2012
060880507,06088,Nice,20.0219418540867,16315.0,2012
060880508,06088,Nice,33.422735712812,14009.6,2012
060880509,06088,Nice,46.0,12319.0,2012
060880601,06088,Nice,23.241885625966,16086.6666666667,2012
060880602,06088,Nice,18.8352745424293,17370.0,2012
060880603,06088,Nice,20.4776958201616,16837.5,2012
060880604,06088,Nice,31.7469000729395,14683.3333333333,2012
060880605,06088,Nice,40.7960199004975,13341.0,2012
060880701,06088,Nice,36.8155182865225,13713.6,2012
060880702,06088,Nice,42.5378602833415,12836.4583333333,2012
060880801,06088,Nice,23.2884727911059,20666.0,2012
060880901,06088,Nice,45.6922801361275,12601.3793103448,2012
060880902,06088,Nice,34.9498669940659,14028.0,2012
060880903,06088,Nice,41.1904134843297,13054.4,2012
060880904,06088,Nice,,12321.3333333333,2012
060880905,06088,Nice,44.558874013045,12641.6666666667,2012
060881001,06088,Nice,,25291.1473429952,2012
060881002,06088,Nice,10.3128911138924,25093.3333333333,2012
060881003,06088,Nice,,22626.6666666667,2012
060881004,06088,Nice,7.22268557130942,26523.3333333333,2012
060881005,06088,Nice,,26260.0,2012
060881101,06088,Nice,15.9697017516175,19981.0,2012
060881102,06088,Nice,14.5959160195571,21147.2222222222,2012
060881103,06088,Nice,11.9971003986952,21087.5,2012
060881104,06088,Nice,12.741935483871,20641.3571428571,2012
060881105,06088,Nice,15.7311000452694,18696.1111111111,2012
060881201,06088,Nice,25.7249918540241,16186.0,2012
060881202,06088,Nice,,19452.0,2012
060881203,06088,Nice,15.8730158730159,19587.7777777778,2012
060881204,06088,Nice,,18911.6,2012
060881301,06088,Nice,18.365110672803,17814.6666666667,2012
060881302,06088,Nice,11.6726580672447,19321.6,2012
060881303,06088,Nice,14.1367806505421,19645.2173913043,2012
060881304,06088,Nice,11.3540197461213,20575.0,2012
060881305,06088,Nice,16.7988893296311,19315.5555555556,2012
060881306,06088,Nice,,19763.3333333333,2012
060881307,06088,Nice,11.8207816968541,20991.9047619048,2012
060881308,06088,Nice,14.3523920653442,19657.0,2012
060881309,06088,Nice,18.784099766173,18082.0432692308,2012
060881401,06088,Nice,15.9404179635393,19700.0,2012
060881402,06088,Nice,16.8751421423698,18860.6666666667,2012
060881403,06088,Nice,16.1626481405803,19610.0,2012
060881404,06088,Nice,15.3053715967623,19969.6666666667,2012
060881501,06088,Nice,31.0622710622711,15718.3333333333,2012
060881502,06088,Nice,17.95,19074.3888888889,2012
060881503,06088,Nice,15.5419222903885,19367.2222222222,2012
060881504,06088,Nice,16.8043366029943,18613.3333333333,2012
060881505,06088,Nice,21.5423689679058,16774.0,2012
060881506,06088,Nice,17.2647427854454,19049.0,2012
060881601,06088,Nice,13.0523108176739,25164.0,2012
060881602,06088,Nice,17.4133130852949,18396.6666666667,2012
060881603,06088,Nice,11.1710901184585,21531.0,2012
060881604,06088,Nice,7.8239608801956,30242.6666666667,2012
060881605,06088,Nice,13.1976904041793,23972.5,2012
060881606,06088,Nice,,27580.9523809524,2012
060881701,06088,Nice,17.5734652313064,20826.0,2012
060881702,06088,Nice,15.2647137866165,19576.0869565217,2012
060881703,06088,Nice,26.7659902388903,15368.0,2012
060881704,06088,Nice,19.81220657277,18447.7777777778,2012
060881705,06088,Nice,18.0246266701598,19100.0,2012
060881802,06088,Nice,38.1894256371244,13826.0,2012
060881803,06088,Nice,35.9118506858556,13880.0,2012
060881804,06088,Nice,28.4599006387509,16083.8888888889,2012
060881805,06088,Nice,20.9684684684685,17121.1111111111,2012
060881901,06088,Nice,26.5641457762798,15778.0,2012
060881902,06088,Nice,18.2604398319743,19242.0,2012
060881903,06088,Nice,20.6595744680851,18006.0,2012
060882001,06088,Nice,9.73659454374412,24261.0,2012
060882002,06088,Nice,12.0487926313169,22036.0,2012
060882101,06088,Nice,19.4176983035305,18978.4615384615,2012
060882102,06088,Nice,21.3084112149533,16782.5,2012
060882103,06088,Nice,28.4463894967177,15463.3333333333,2012
060882104,06088,Nice,22.4081364829396,17041.0,2012
060882201,06088,Nice,21.3092852371409,20611.0,2012
060882202,06088,Nice,29.6183516037353,16364.2424242424,2012
060882203,06088,Nice,19.3970767356882,19632.0,2012
060882301,06088,Nice,17.8871548619448,23114.5,2012
060882302,06088,Nice,19.35987509758,20957.0,2012
060882303,06088,Nice,19.8853211009174,18656.0,2012
060882304,06088,Nice,22.6332288401254,17600.0,2012
060882401,06088,Nice,28.0407264722069,17636.0,2012
060882402,06088,Nice,18.307789208482,20252.0,2012
060882501,06088,Nice,27.2480386240193,16898.8333333333,2012
060882502,06088,Nice,23.9480752014324,17498.8888888889,2012
060882503,06088,Nice,21.8724559023066,18684.0,2012
060882504,06088,Nice,24.6314394566838,16634.0,2012
060882601,06088,Nice,32.3064340239913,15259.3333333333,2012
060882602,06088,Nice,21.626887481734,18789.3076923077,2012
060882603,06088,Nice,21.3114754098361,18977.5,2012
060882701,06088,Nice,26.6890380313199,16115.0,2012
060882702,06088,Nice,16.1344537815126,20243.0,2012
060882703,06088,Nice,15.1814131126671,22324.6666666667,2012
060882704,06088,Nice,8.15347721822542,24697.3333333333,2012
