code_qpv,iris_controle,distance_score,niveau
QP001001,010530603,0.9998545029001122,commune
QP001001,010530602,0.999871643695741,commune
QP001001,010530601,0.9998767044510519,commune
QP001001,010530202,0.9999260990136074,commune
QP001001,010530401,0.9999402272941855,commune
QP001002,010530603,0.999854659739284,commune
QP001002,010530602,0.9998718005349128,commune
QP001002,010530601,0.9998768612902237,commune
QP001002,010530202,0.9999262558527792,commune
QP001002,010530401,0.9999403841333573,commune
QP001003,740120404,0.9998632098219078,unite_urbaine
QP001003,740120402,0.9999324265194686,unite_urbaine
QP001003,740120101,0.9999525273420551,unite_urbaine
QP001003,740120202,0.9999566054821418,unite_urbaine
QP001003,740120501,0.9999573543477372,unite_urbaine
QP001004,740120404,0.9998622780467661,unite_urbaine
QP001004,740120402,0.9999314947443269,unite_urbaine
QP001004,740120101,0.9999515955669134,unite_urbaine
QP001004,740120202,0.9999556737070001,unite_urbaine
QP001004,740120501,0.9999564225725955,unite_urbaine
QP001005,010040102,0.999923809159439,commune
QP001005,010040101,0.9999384796490322,commune
QP001005,010040201,0.9999530378374137,commune
QP001005,010040202,0.9999668536531475,commune
QP001006,012830104,0.9997832826234866,commune
QP001006,012830102,0.999843203639225,commune
QP001006,012830203,0.9998761395640714,commune
QP001006,012830103,0.9998909935580625,commune
QP001006,012830301,0.9999321402467851,commune
QP001007,012830104,0.9997829769494804,unite_urbaine
QP001007,012830102,0.9998428979652187,unite_urbaine
QP001007,012830203,0.9998758338900652,unite_urbaine
QP001007,012830103,0.9998906878840563,unite_urbaine
QP001007,012830301,0.9999318345727789,unite_urbaine
QP001009,692590402,0.9994956710080554,unite_urbaine
QP001009,692560302,0.9996530978712526,unite_urbaine
QP001009,692560601,0.9996556150243782,unite_urbaine
QP001009,692560404,0.9996714696329969,unite_urbaine
QP001009,692590502,0.9996740973008446,unite_urbaine
QP002001,026910401,0.9999191020146488,commune
QP002001,026910402,0.9999208742035368,commune
QP002001,026910103,0.9999216759831949,commune
QP002001,026910601,0.9999257121525428,commune
QP002001,026910403,0.9999292909463425,commune
QP002002,026910401,0.999919613034868,commune
QP002002,026910402,0.999921385223756,commune
QP002002,026910103,0.9999221870034141,commune
QP002002,026910601,0.9999262231727619,commune
QP002002,026910403,0.9999298019665617,commune
QP002003,026910401,0.9999150045711359,commune
QP002003,026910402,0.9999167767600239,commune
QP002003,026910103,0.999917578539682,commune
QP002003,026910601,0.9999216147090298,commune
QP002003,026910403,0.9999251935028296,commune
QP002007,027380302,0.9998652143156505,unite_urbaine
QP002007,027380102,0.9999022707150849,unite_urbaine
QP002007,027380101,0.9999141409649386,unite_urbaine
QP002007,027380201,0.9999164100006976,unite_urbaine
QP002007,027380401,0.999924699061588,unite_urbaine
QP002009,021730101,0.9998684888747115,commune
QP002009,021730201,0.9999284149662314,commune
QP002009,021730301,0.9999468547875674,commune
QP002011,024080102,0.9994509608576508,commune
QP002011,024080101,0.9997482312779452,commune
QP002011,024080103,0.9997685736919141,commune
QP002011,024080402,0.9999042747389066,commune
QP002011,024080801,0.9999129336336078,commune
QP002013,027220801,0.9999176617347993,commune
QP002013,027220201,0.9999244530166266,commune
QP002013,027220502,0.999946205940922,commune
QP002013,027220701,0.9999490474343378,commune
QP002013,027220901,0.999953588014253,commune
QP002014,027220801,0.9999172151720467,commune
QP002014,027220201,0.9999240064538739,commune
QP002014,027220502,0.9999457593781693,commune
QP002014,027220701,0.9999486008715851,commune
QP002014,027220901,0.9999531414515004,commune
QP002015,028100102,0.9999417678757272,commune
QP002015,028100202,0.9999437552125303,commune
QP002015,028100302,0.9999456778696427,commune
QP002017,021680101,0.9999349898687683,commune
QP002017,021680401,0.9999509868466744,commune
QP002017,021680201,0.9999564707231395,commune
QP003001,030950103,0.9999175386841163,commune
QP003001,030950101,0.9999356811057515,commune
QP003001,030950102,0.9999460102942269,commune
QP003001,030950111,0.9999553375793951,commune
QP003001,030950105,0.9999616601896464,commune
QP003002,033100102,0.9999291017387567,commune
QP003002,033100103,0.9999303185531289,commune
QP003002,033100101,0.9999415554340668,commune
QP003002,033100105,0.999942880032638,commune
QP003002,033100110,0.9999527504625382,commune
QP003003,031900108,0.99988289882223,commune
QP003003,031900104,0.9999293364330955,commune
QP003003,031900101,0.9999482047333593,commune
QP003003,031900103,0.9999541337033253,commune
QP003003,031900109,0.9999583409914874,commune
QP003004,031850115,0.9998856958408533,commune
QP003004,031850106,0.9999051065427759,commune
QP003004,031850105,0.9999087563328011,commune
QP003004,031850117,0.9999228404289835,commune
QP003004,031850104,0.9999481591564348,commune
QP004001,040700102,0.9999253844523998,commune
QP004001,040700104,0.9999509732628521,commune
QP004001,040700108,0.9999532523535404,commune
QP004001,040700101,0.9999556890867781,commune
QP004001,040700105,0.9999559199138081,commune
QP004002,041120107,0.9998526389447367,commune
QP004002,041120101,0.9998824473805737,commune
QP004002,041120103,0.9999285900504769,commune
QP004002,041120102,0.999936459827239,commune
QP004002,041120106,0.9999578779451653,commune
QP004003,041120107,0.9998487955767873,commune
QP004003,041120101,0.9998786040126243,commune
QP004003,041120103,0.9999247466825274,commune
QP004003,041120102,0.9999326164592895,commune
QP004003,041120106,0.9999540345772159,commune
QP005001,050610106,0.9999179622873019,commune
QP005001,050610101,0.9999251187908899,commune
QP005001,050610115,0.9999264817799546,commune
QP005001,050610107,0.9999403115764507,commune
QP005001,050610108,0.9999429178342905,commune
QP006001,060882903,0.9996703918110412,commune
QP006001,060880904,0.9996805630106479,commune
QP006001,060880905,0.9996909986033489,commune
QP006001,060880901,0.99972401948153,commune
QP006001,060880509,0.9997284703502558,commune
QP006002,061550102,0.9997089053849313,commune
QP006002,061550103,0.9998542002738121,commune
QP006002,061550104,0.9999174601111549,commune
QP006002,061550105,0.9999365432224027,commune
QP006002,061550110,0.9999473552653338,commune
QP006003,060290128,0.9998542621359826,commune
QP006003,060290108,0.9999152006568064,commune
QP006003,060290127,0.9999248464664648,commune
QP006003,060290132,0.9999264480181883,commune
QP006003,060290109,0.9999272010865197,commune
QP006004,060290128,0.9998487492095849,commune
QP006004,060290108,0.9999096877304087,commune
QP006004,060290127,0.9999193335400671,commune
QP006004,060290132,0.9999209350917906,commune
QP006004,060290109,0.999921688160122,commune
QP006005,060690111,0.9997461908409807,commune
QP006005,060690109,0.9999070902443524,commune
QP006005,060690101,0.9999333071519841,commune
QP006005,060690113,0.9999363943317027,commune
QP006005,060690106,0.9999397092583237,commune
QP006006,060690111,0.9997461450477537,commune
QP006006,060690109,0.9999070444511254,commune
QP006006,060690101,0.9999332613587572,commune
QP006006,060690113,0.9999363485384757,commune
QP006006,060690106,0.9999396634650967,commune
QP006007,060882903,0.9996632856642943,unite_urbaine
QP006007,060880904,0.999673456863901,unite_urbaine
QP006007,060880905,0.9996838924566019,unite_urbaine
QP006007,061550102,0.9997030884517578,unite_urbaine
QP006007,060880901,0.9997169133347831,unite_urbaine
QP006008,060330103,0.9998966060626824,commune
QP006008,060330102,0.9999183259842502,commune
QP006008,060330105,0.9999631253307376,commune
QP006010,060882903,0.9996688252373309,commune
QP006010,060880904,0.9996789964369376,commune
QP006010,060880905,0.9996894320296386,commune
QP006010,060880901,0.9997224529078197,commune
QP006010,060880509,0.9997269037765455,commune
QP006011,060882903,0.9996701358664359,commune
QP006011,060880904,0.9996803070660426,commune
QP006011,060880905,0.9996907426587436,commune
QP006011,060880901,0.9997237635369247,commune
QP006011,060880509,0.9997282144056505,commune
QP006012,060882903,0.9996704152142498,commune
