CodGeo,Note,nbLsPls,nbLsMes,txVac,txVac3m,txRot,txLsCol,txLsInd,txLs1p,txLs2p,txLs3p,txLs4p,txLs5pp,txLsm30,txLs30a40,txLs40a60,txLs60a80,txLs80a100,txLs100a120,txLs120p,txLsAv49,txLs49a75,txLs76a88,txLs89a00,txLs01a13,txLsAp13,txLsPlai,txLsPlusAv77,txLsPlusAp77,txLsPls,txLsPli,moyLoy,q1Loy,medLoy,q3Loy
QP003004,0,766.0,,"23,3","21,8","9,7","88,5","11,5",,"9,4","50,4","31,1",,,,"32,6","49,7","10,3",,,,"73,8",,,20,,,"73,6","24,9",,,"5,27","4,85","5,17","5,58"
QP003005,0,699.0,,"19,5","17,6","15,7","87,7","12,3","22,7","22,5","29,6","18,9","6,3","21,6","2,6","31,6",30,"12,4",,,,"53,4","14,3",,24,,,"67,7",,,,"5,28","3,98","5,18","5,99"
QP003006,0,575.0,,"41,3","39,5","7,4",,,"6,4","21,6","33,7","35,3",3,,"6,4","21,2","68,7",,,,,"95,8",,,,,,"95,8",,,,"5,13","4,78","4,83","5,7"
QP004001,0,393.0,,,,"14,1",,,16,"15,3","30,8","32,1","5,9",,"9,9",15,"58,5","10,7",,,,"45,8","4,8","29,5","16,5",,,"45,8","43,8",,,"5,4","4,57","4,76","6,17"
QP004002,0,186.0,,,,,,,,"24,2","32,3","34,4",,,,,"45,7","31,7",,,,50,,43,,,,"41,9","33,3",,,"4,92","4,56","4,73","5,11"
QP004003,0,302.0,,,,"9,2",,,,,"26,8",53,"12,3",,,,"77,8","12,6",,,,"62,6",,,,,,"58,3","37,4",,,"5,2","4,42","4,95","5,98"
QP005001,0,319.0,,,,"9,4",,,5,"17,2","39,8",32,6,,,"23,2","39,8","27,9","4,4",,,"14,4","69,3",,,,,"83,7","12,2",,,"4,42","3,78",4,"4,42"
QP006001,0,596.0,,,,"3,6",,,,"21,5","41,6",25,,,,"59,9","29,4",,,,,,,,,,,,,,,"6,38","6,03","6,38","6,72"
QP006002,0,539.0,,"5,9","2,5","5,4",,,"12,8","25,2","32,3","21,7",8,"8,3",,"26,7","30,4",20,"7,1",,,"63,8",,"13,5","10,4","8,3","18,2","63,3","10,8","2,8",5,"5,72","4,97","5,27","6,17"
QP006003,0,1496.0,,"3,2","1,7","5,2",,,"4,9","16,4",37,"33,9","7,9",,"8,4","27,6",53,"9,7",,,,"73,7","3,5","17,6","4,1",,"1,5",73,"24,4",,,"6,07","5,23","5,62","6,61"
QP006004,0,729.0,,"3,3","2,4",4,,,3,"13,6","42,9",31,"9,5","1,5","1,5","40,5","46,1","8,2",,,,"94,5",,,,"3,3",,"94,5","3,3",,,"6,5","5,24","6,72","7,31"
QP006005,0,745.0,,"6,8","3,3","8,9",,,"9,5","24,4","36,6","23,2","6,2","4,4","7,8","25,2","46,3","14,2",,,"8,2","9,8","19,1","39,3",16,"7,7","7,9","8,3","76,1","5,1","2,6","6,86","6,22","6,81","7,38"
QP006006,0,542.0,,,,,,,,5,"57,9","32,5",,,,,"73,2","20,5",,,,"88,7",,,,,,"88,6",,,,"5,51","5,1","5,34","5,66"
QP006007,0,209.0,,,,"20,1",,,,,"24,4","31,1","29,2",,,11,"41,1","32,5","7,7",,,,,,,,,"72,2",,,,"5,67","4,82","5,24","6,62"
QP006008,0,676.0,,,,5,,,,,"31,7","47,9","11,7",,,"7,7","62,1","26,8",,,,,,,,,,"97,5",,,,"5,42","5,04","5,38","5,78"
