code,revenu_median,taux_pauvrete,gini,s80s20,annee
QP001001,13690.0,40.0,0.228,3.184,2016
QP001002,12280.0,52.1,0.2,2.863,2016
QP001003,15420.0,31.1,0.356,6.287,2016
QP001004,13870.0,41.5,0.277,3.898,2016
QP001005,12940.0,45.6,0.229,3.296,2016
QP001006,13340.0,41.9,0.195,2.697,2016
QP001007,13190.0,44.4,0.206,2.762,2016
QP001008,11940.0,55.5,0.196,2.608,2016
QP001009,13510.0,40.9,0.222,3.055,2016
QP002001,12640.0,49.5,0.244,3.295,2016
QP002002,14280.0,37.3,0.249,3.414,2016
QP002003,12890.0,47.1,0.22,3.017,2016
QP002004,11830.0,56.7,0.226,3.069,2016
QP002005,12480.0,50.0,0.261,3.719,2016
QP002006,13110.0,44.3,0.26,3.575,2016
QP002007,12490.0,50.0,0.266,3.608,2016
QP002008,12340.0,50.6,0.26,3.493,2016
QP002009,11460.0,58.2,0.217,2.96,2016
QP002010,12180.0,51.4,0.247,3.415,2016
QP002011,11290.0,60.1,0.235,3.249,2016
QP002012,13220.0,43.5,0.197,2.714,2016
QP002013,11810.0,55.9,0.218,3.068,2016
QP002014,10530.0,63.8,0.192,2.553,2016
QP002015,13830.0,39.9,0.209,2.842,2016
QP002016,13280.0,45.6,0.218,2.968,2016
QP002017,12470.0,50.5,0.213,2.925,2016
QP003001,14030.0,39.4,0.267,3.86,2016
QP003002,12910.0,46.4,0.211,2.835,2016
QP003003,13780.0,40.4,0.23,3.204,2016
QP003004,13940.0,41.1,0.275,4.036,2016
QP003005,12690.0,47.4,0.205,2.856,2016
QP003006,11520.0,57.7,0.219,2.923,2016
QP004001,13290.0,41.4,0.264,3.737,2016
QP004002,14800.0,34.1,0.259,3.813,2016
QP004003,13400.0,42.8,0.252,3.631,2016
QP005001,14350.0,40.3,0.257,3.495,2016
QP006001,13820.0,40.0,0.22,3.149,2016
QP006002,13970.0,39.6,0.255,3.687,2016
QP006003,14760.0,32.2,0.206,2.895,2016
QP006004,14900.0,30.0,0.201,2.719,2016
QP006005,14380.0,38.4,0.261,3.926,2016
QP006006,13640.0,40.1,0.196,2.629,2016
QP006007,14610.0,35.6,0.224,3.262,2016
QP006008,14730.0,31.9,0.206,2.88,2016
QP006009,10320.0,83.0,0.217,3.301,2016
QP006010,12630.0,48.3,0.212,2.96,2016
QP006011,12260.0,51.7,0.242,3.414,2016
QP006012,14430.0,36.1,0.294,4.596,2016
QP006013,13190.0,44.1,0.226,3.183,2016
QP006014,12840.0,47.3,0.225,3.216,2016
QP006015,14910.0,31.7,0.257,3.789,2016
QP006016,13760.0,42.4,0.308,5.094,2016
QP007001,12650.0,48.7,0.265,3.791,2016
QP007002,13640.0,41.2,0.251,3.697,2016
QP007003,12660.0,48.4,0.245,3.307,2016
QP007004,12650.0,48.8,0.23,3.176,2016
QP007005,13030.0,45.5,0.244,3.522,2016
QP008001,12360.0,51.2,0.221,2.981,2016
QP008002,11390.0,58.6,0.213,2.867,2016
QP008003,12250.0,53.0,0.219,2.96,2016
QP008004,13860.0,43.1,0.266,3.706,2016
QP008005,13090.0,44.1,0.222,2.878,2016
QP008006,14520.0,36.7,0.274,3.806,2016
QP008007,12290.0,51.7,0.228,3.094,2016
QP008008,13530.0,43.6,0.26,3.628,2016
QP009001,13700.0,40.7,0.281,3.952,2016
QP009002,14270.0,37.2,0.312,4.885,2016
QP009003,13420.0,42.8,0.27,3.969,2016
QP010001,13450.0,43.5,0.282,4.0,2016
QP010002,13990.0,37.3,0.211,2.936,2016
QP010003,12450.0,50.4,0.206,2.835,2016
QP010004,13030.0,45.2,0.193,2.7030000000000003,2016
QP010005,12620.0,49.8,0.262,3.762,2016
QP010006,11650.0,56.6,0.22,3.104,2016
QP010007,10670.0,67.7,0.227,3.269,2016
QP010008,11650.0,58.4,0.229,3.189,2016
QP010009,12400.0,50.4,0.192,2.619,2016
QP010010,12010.0,51.6,0.224,3.107,2016
QP011001,13690.0,39.6,0.287,4.104,2016
QP011002,11570.0,57.7,0.255,3.667,2016
QP011003,10400.0,66.5,0.23,3.212,2016
QP011004,13840.0,41.3,0.323,5.013,2016
QP011005,11670.0,57.0,0.265,3.823,2016
QP011006,12870.0,47.0,0.24,3.186,2016
QP011007,11860.0,54.8,0.24,3.233,2016
QP011008,13350.0,43.0,0.303,4.599,2016
QP011009,11510.0,60.2,0.231,3.173,2016
QP011010,13490.0,43.3,0.294,4.524,2016
QP012001,12880.0,45.6,0.222,3.187,2016
QP012002,12900.0,46.1,0.267,3.891,2016
QP013001,11230.0,59.5,0.26,3.763,2016
QP013002,15060.0,28.5,0.2,2.77,2016
QP013003,14020.0,38.8,0.229,3.171,2016
QP013004,15990.0,21.3,0.181,2.468,2016
QP013005,12270.0,51.8,0.234,3.275,2016
QP013006,13950.0,37.7,0.215,2.938,2016
QP013007,12220.0,52.1,0.215,2.926,2016
QP013008,12680.0,48.2,0.207,2.801,2016
QP013009,14850.0,34.3,0.233,3.3,2016
QP013010,12480.0,50.0,0.203,2.817,2016
QP013011,12390.0,51.0,0.212,2.926,2016
QP013012,13100.0,44.8,0.206,2.8280000000000003,2016
QP013013,12240.0,51.4,0.301,4.769,2016
QP013014,14260.0,36.4,0.213,2.962,2016
QP013015,12870.0,46.1,0.207,2.834,2016
QP013016,13870.0,39.9,0.218,3.035,2016
QP013017,12690.0,49.1,0.22,3.085,2016
QP013018,13340.0,41.4,0.207,2.857,2016
QP013019,14270.0,31.9,0.2,2.792,2016
QP013020,13920.0,38.1,0.197,2.742,2016
QP013021,12730.0,47.7,0.209,2.806,2016
QP013022,13380.0,41.7,0.211,2.9370000000000003,2016
QP013023,13760.0,38.1,0.199,2.753,2016
QP013024,13720.0,40.4,0.226,3.085,2016
QP013025,14660.0,32.7,0.217,3.044,2016
QP013026,15170.0,31.5,0.24,3.482,2016
QP013027,13570.0,40.6,0.268,3.985,2016
QP013028,13730.0,39.7,0.208,2.85,2016
QP013029,12600.0,48.9,0.195,2.681,2016
QP013030,14620.0,33.3,0.214,2.928,2016
QP013031,13830.0,41.9,0.253,3.855,2016
QP013032,12170.0,52.0,0.301,4.764,2016
QP013033,13520.0,40.4,0.237,3.375,2016
QP013034,13620.0,41.7,0.268,3.732,2016
QP013035,12930.0,47.3,0.225,3.089,2016
QP013036,12210.0,51.6,0.24,3.45,2016
QP013037,13070.0,45.2,0.204,2.701,2016
QP013038,12740.0,47.7,0.24,3.365,2016
QP013039,12590.0,49.0,0.218,2.972,2016
QP013040,12720.0,48.3,0.206,2.832,2016
QP013041,14360.0,35.2,0.197,2.693,2016
QP013042,11440.0,58.7,0.236,3.355,2016
QP013043,12810.0,47.5,0.238,3.222,2016
QP013044,11580.0,57.5,0.223,3.082,2016
QP013045,12720.0,48.5,0.224,3.091,2016
QP013046,11970.0,57.0,0.213,2.873,2016
QP013047,13210.0,45.7,0.261,3.771,2016
QP013048,12920.0,47.0,0.248,3.479,2016
QP013049,11550.0,57.2,0.245,3.57,2016
QP013050,12160.0,52.1,0.218,3.006,2016
QP013051,11770.0,56.3,0.235,3.2880000000000003,2016
QP013052,12490.0,49.9,0.248,3.547,2016
QP013053,12230.0,52.1,0.274,4.177,2016
QP013054,11260.0,60.1,0.224,3.11,2016
QP013055,10900.0,62.5,0.247,3.748,2016
QP013056,11260.0,58.2,0.207,2.742,2016
QP013057,11730.0,53.7,0.275,4.427,2016
QP013058,11820.0,55.2,0.278,4.476,2016
QP013059,14200.0,37.1,0.238,3.353,2016
QP013060,14490.0,39.5,0.258,3.746,2016
QP013061,13860.0,37.0,0.207,2.877,2016
QP013062,14120.0,36.1,0.191,2.614,2016
QP013063,13130.0,43.5,0.207,2.901,2016
QP013064,13510.0,41.0,0.22,3.004,2016
QP013065,13640.0,40.6,0.202,2.775,2016
QP014001,12590.0,48.9,0.211,2.885,2016
QP014002,12760.0,47.9,0.213,2.967,2016
QP014003,11560.0,57.4,0.212,2.958,2016
QP014004,12230.0,52.0,0.223,3.043,2016
QP014005,12930.0,47.5,0.248,3.598,2016
QP014006,14270.0,34.5,0.191,2.553,2016
QP014007,14010.0,38.9,0.218,3.011,2016
QP014008,12920.0,44.6,0.209,2.876,2016
QP014009,13320.0,42.9,0.201,2.754,2016
QP015001,13580.0,40.6,0.251,3.526,2016
QP016001,11640.0,56.5,0.245,3.454,2016
QP016002,12820.0,47.2,0.22,2.976,2016
QP016003,12150.0,51.6,0.251,3.54,2016
QP016004,13290.0,42.6,0.201,2.689,2016
QP016005,12000.0,55.5,0.22,3.127,2016
QP016006,12480.0,50.1,0.234,3.245,2016
QP017001,13320.0,43.0,0.201,2.766,2016
QP017002,12800.0,47.2,0.211,2.932,2016
QP017003,12180.0,53.2,0.226,3.351,2016
QP017004,13990.0,36.6,0.257,3.616,2016
QP017005,11890.0,52.5,0.262,3.593,2016
QP017006,14250.0,35.5,0.237,3.22,2016
QP017007,14160.0,36.5,0.189,2.59,2016
QP018001,12520.0,49.7,0.23,3.194,2016
QP018002,12920.0,46.3,0.224,3.029,2016
QP018003,13720.0,41.0,0.217,2.936,2016
QP018004,12180.0,51.6,0.279,4.203,2016
QP019001,13150.0,40.9,0.208,2.843,2016
QP019002,12880.0,46.7,0.206,2.824,2016
QP019003,13560.0,41.7,0.219,3.045,2016
QP021001,14440.0,32.9,0.182,2.481,2016
QP021002,13280.0,43.1,0.209,2.896,2016
QP021003,13430.0,42.3,0.221,3.083,2016
QP021004,12840.0,46.5,0.216,3.033,2016
QP021005,13440.0,37.9,0.181,2.477,2016
QP021006,13560.0,39.3,0.206,2.868,2016
QP022001,13340.0,42.0,0.188,2.622,2016
QP022002,13990.0,42.3,0.232,3.387,2016
QP022003,13210.0,45.1,0.224,3.103,2016
QP022004,13030.0,43.4,0.204,2.819,2016
QP022005,12030.0,52.9,0.225,3.153,2016
QP022006,13090.0,46.0,0.237,3.592,2016
QP022007,12920.0,45.7,0.197,2.709,2016
QP023001,13020.0,46.0,0.256,3.578,2016
QP024001,13890.0,37.4,0.234,3.233,2016
QP024002,13740.0,39.2,0.277,4.063,2016
QP024003,14220.0,37.7,0.213,2.981,2016
QP024004,11300.0,57.6,0.259,3.673,2016
QP024005,13940.0,41.4,0.236,3.325,2016
QP025001,14910.0,32.8,0.254,3.408,2016
QP025002,11240.0,62.9,0.236,3.062,2016
QP025003,12590.0,49.4,0.209,2.952,2016
QP025004,12480.0,50.0,0.234,3.32,2016
QP025005,13690.0,43.1,0.224,3.252,2016
QP025006,12820.0,47.8,0.245,3.556,2016
QP025007,12760.0,45.8,0.195,2.665,2016
QP025008,13560.0,39.7,0.198,2.69,2016
QP025009,13360.0,40.7,0.184,2.526,2016
QP025010,13150.0,43.0,0.196,2.688,2016
QP025011,13300.0,43.3,0.229,3.175,2016
QP025012,14160.0,37.9,0.199,2.758,2016
QP025013,13120.0,43.2,0.22,3.186,2016
QP026001,14120.0,37.8,0.255,3.691,2016
QP026002,11550.0,59.4,0.21,2.9370000000000003,2016
QP026003,13310.0,44.1,0.211,2.876,2016
QP026004,13840.0,40.4,0.301,4.686,2016
QP026005,11500.0,61.5,0.209,2.901,2016
QP026006,12010.0,54.9,0.212,2.866,2016
QP026007,12520.0,49.6,0.213,2.972,2016
QP026008,13410.0,41.4,0.217,3.014,2016
QP026009,13170.0,43.4,0.208,2.825,2016
QP026010,13050.0,44.9,0.212,2.996,2016
QP026011,14700.0,34.5,0.229,3.239,2016
QP026012,12600.0,48.8,0.236,3.31,2016
QP027001,13250.0,45.1,0.211,2.936,2016
QP027002,12560.0,49.2,0.22,3.167,2016
QP027003,11690.0,56.8,0.221,3.072,2016
QP027004,11260.0,61.1,0.22,3.111,2016
QP027005,13380.0,40.7,0.21,2.865,2016
QP027006,12630.0,47.9,0.234,3.064,2016
QP027007,12600.0,49.3,0.217,2.9370000000000003,2016
QP027008,13190.0,44.2,0.22,3.085,2016
QP027009,14050.0,38.0,0.225,3.105,2016
QP027010,13220.0,44.0,0.196,2.698,2016
QP027011,13850.0,38.7,0.207,2.775,2016
QP028001,13630.0,40.5,0.214,2.825,2016
QP028002,13230.0,44.2,0.214,2.923,2016
QP028003,12550.0,49.7,0.207,2.837,2016
QP028004,14000.0,37.2,0.196,2.717,2016
QP028005,12050.0,54.7,0.207,2.847,2016
QP028006,12290.0,52.0,0.207,2.84,2016
QP028007,13810.0,38.9,0.209,2.872,2016
QP028008,11890.0,55.3,0.212,2.952,2016
QP028009,12440.0,50.3,0.227,3.204,2016
QP028010,12300.0,52.0,0.216,3.029,2016
QP029001,12990.0,43.9,0.191,2.624,2016
QP029002,13890.0,39.7,0.213,3.033,2016
QP029003,12380.0,51.7,0.211,2.906,2016
QP029004,13870.0,39.4,0.211,2.955,2016
QP029005,13090.0,42.9,0.184,2.556,2016
QP029006,12260.0,51.8,0.221,3.092,2016
QP029007,12840.0,46.1,0.196,2.722,2016
QP029008,13340.0,43.6,0.236,3.283,2016
QP029009,12320.0,51.9,0.223,3.151,2016
QP02A001,12790.0,44.9,0.191,2.533,2016
QP02A002,15110.0,29.6,0.202,2.794,2016
QP02A003,14030.0,39.0,0.233,3.161,2016
QP02B001,14050.0,36.9,0.221,3.134,2016
QP02B002,15580.0,35.6,0.341,5.924,2016
QP030001,12800.0,47.3,0.252,3.532,2016
QP030002,13070.0,43.3,0.271,3.788,2016
QP030003,10550.0,68.0,0.214,2.999,2016
QP030004,13100.0,44.1,0.289,4.434,2016
QP030005,11200.0,60.7,0.225,3.123,2016
QP030006,11620.0,57.0,0.224,3.143,2016
QP030007,14020.0,38.7,0.231,3.153,2016
QP030008,12560.0,49.5,0.239,3.318,2016
QP030009,11830.0,56.8,0.232,3.232,2016
QP030010,11880.0,55.1,0.218,3.0,2016
QP030011,13900.0,39.7,0.265,3.887,2016
QP030012,12870.0,45.2,0.192,2.619,2016
QP030013,12990.0,45.5,0.25,3.596,2016
QP030014,12860.0,45.0,0.266,3.89,2016
QP030015,12410.0,50.8,0.191,2.648,2016
QP030016,12820.0,47.7,0.233,3.228,2016
QP030017,12600.0,48.0,0.258,3.586,2016
QP030018,14420.0,37.1,0.239,3.386,2016
QP031001,13760.0,39.9,0.207,2.821,2016
QP031002,14610.0,36.8,0.294,4.366,2016
QP031003,14040.0,39.7,0.285,4.296,2016
QP031004,13750.0,39.5,0.228,3.077,2016
QP031005,14970.0,35.6,0.249,3.585,2016
QP031006,13320.0,43.9,0.26,3.895,2016
QP031007,12650.0,48.6,0.236,3.281,2016
QP031008,15350.0,33.1,0.288,4.558,2016
QP031009,12470.0,50.0,0.204,2.705,2016
QP031010,13070.0,43.7,0.237,3.338,2016
QP031011,13240.0,43.8,0.242,3.383,2016
QP031012,13210.0,41.5,0.226,3.069,2016
QP031013,14830.0,33.2,0.205,2.75,2016
QP031014,13990.0,38.9,0.235,3.291,2016
QP031015,13790.0,38.5,0.263,3.715,2016
QP031016,13880.0,40.1,0.224,3.061,2016
QP031017,14120.0,32.6,0.196,2.654,2016
QP031018,12860.0,46.0,0.283,4.127,2016
QP031019,13870.0,38.9,0.224,3.089,2016
QP032001,11370.0,58.4,0.222,3.215,2016
QP033001,14150.0,34.2,0.193,2.664,2016
QP033002,14320.0,34.6,0.198,2.755,2016
QP033003,14150.0,34.5,0.224,3.093,2016
QP033004,13350.0,43.8,0.292,4.244,2016
QP033005,13490.0,42.1,0.227,2.983,2016
QP033006,14700.0,33.3,0.235,3.398,2016
QP033007,12150.0,52.3,0.207,2.919,2016
QP033008,15610.0,33.8,0.331,5.827,2016
QP033009,13470.0,41.7,0.223,3.129,2016
QP033010,13790.0,40.2,0.245,3.384,2016
QP033011,14550.0,35.0,0.224,3.044,2016
QP033012,13430.0,42.3,0.213,2.99,2016
QP033013,13290.0,41.7,0.206,2.889,2016
QP033014,14160.0,36.2,0.211,2.964,2016
QP033015,13830.0,37.9,0.2,2.715,2016
QP033016,13740.0,39.3,0.213,2.935,2016
QP033017,13190.0,44.7,0.214,3.0,2016
QP033018,14900.0,33.2,0.221,3.1,2016
QP033019,14810.0,33.5,0.241,3.371,2016
QP033020,13980.0,38.1,0.204,2.8120000000000003,2016
QP033021,13840.0,37.5,0.212,2.933,2016
QP033022,14000.0,38.1,0.222,3.081,2016
QP033023,15690.0,31.7,0.245,3.352,2016
QP034001,11710.0,55.5,0.307,4.728,2016
QP034002,11410.0,59.0,0.231,3.177,2016
QP034003,11450.0,60.0,0.216,3.079,2016
QP034004,14270.0,38.7,0.245,3.511,2016
QP034005,11500.0,59.9,0.209,2.912,2016
QP034006,11650.0,58.2,0.24,3.497,2016
QP034007,13100.0,44.0,0.216,2.957,2016
QP034008,12660.0,48.8,0.274,4.154,2016
QP034009,12580.0,49.6,0.254,3.372,2016
QP034010,14450.0,40.3,0.34,5.92,2016
QP034011,13870.0,37.5,0.198,2.681,2016
QP034012,13870.0,40.4,0.232,3.285,2016
QP034013,13810.0,40.1,0.201,2.79,2016
QP034014,12800.0,46.7,0.286,4.01,2016
QP034015,13800.0,41.1,0.279,4.464,2016
QP034016,13280.0,41.2,0.195,2.637,2016
QP034017,11270.0,62.1,0.196,2.672,2016
QP034018,13750.0,40.9,0.269,3.946,2016
QP034019,13220.0,44.2,0.269,3.872,2016
QP034020,13920.0,39.9,0.268,3.909,2016
QP034021,12750.0,48.2,0.27,3.991,2016
QP034022,12850.0,48.2,0.258,3.697,2016
QP035001,13950.0,36.4,0.211,2.896,2016
QP035002,12540.0,49.2,0.241,3.451,2016
QP035003,13400.0,43.1,0.238,3.39,2016
QP035004,12470.0,50.1,0.245,3.471,2016
QP035005,12940.0,46.7,0.234,3.292,2016
QP035006,12540.0,49.2,0.215,2.938,2016
QP035007,12950.0,45.0,0.224,3.14,2016
QP036001,12650.0,48.5,0.194,2.651,2016
QP036002,12390.0,51.4,0.207,2.853,2016
QP036003,14690.0,36.7,0.241,3.265,2016
QP036004,13640.0,40.0,0.214,2.985,2016
QP037001,14040.0,35.0,0.195,2.717,2016
QP037002,12320.0,51.1,0.225,3.187,2016
QP037003,13740.0,40.3,0.253,3.725,2016
QP037004,14070.0,38.9,0.238,3.506,2016
QP037005,12250.0,52.0,0.213,3.024,2016
QP037006,11740.0,58.2,0.214,3.152,2016
QP037007,12890.0,46.3,0.231,3.243,2016
QP037008,13460.0,40.6,0.195,2.747,2016
QP037009,11560.0,58.1,0.224,3.221,2016
QP037010,13470.0,42.5,0.213,2.943,2016
QP037011,13270.0,43.1,0.224,3.138,2016
QP037012,13520.0,38.5,0.202,2.85,2016
QP038001,13400.0,42.4,0.208,2.87,2016
QP038002,13230.0,46.9,0.229,3.039,2016
QP038003,12740.0,48.2,0.236,3.395,2016
QP038004,13220.0,42.9,0.209,2.881,2016
QP038005,14740.0,33.8,0.229,3.285,2016
QP038006,12490.0,49.9,0.223,3.119,2016
QP038007,13350.0,43.3,0.254,3.595,2016
QP038008,12840.0,47.3,0.225,3.176,2016
QP038009,13400.0,41.3,0.322,4.959,2016
QP038010,13640.0,41.3,0.219,2.981,2016
QP038011,14150.0,38.8,0.249,3.534,2016
QP038012,13740.0,39.4,0.2,2.738,2016
QP038013,12470.0,50.4,0.198,2.71,2016
QP038014,14000.0,39.2,0.204,2.815,2016
QP038015,12970.0,44.0,0.206,2.896,2016
QP038016,14060.0,38.0,0.218,3.039,2016
QP038017,14250.0,38.6,0.276,3.925,2016
QP038018,12570.0,48.0,0.244,3.324,2016
QP038019,13130.0,46.5,0.298,5.174,2016
QP038020,14210.0,35.3,0.219,2.941,2016
QP038021,15160.0,29.4,0.202,2.781,2016
QP038022,13100.0,44.3,0.195,2.68,2016
QP038023,13630.0,42.6,0.217,3.023,2016
QP038024,12760.0,46.8,0.243,3.392,2016
QP038025,13720.0,39.8,0.218,2.972,2016
QP038026,13410.0,44.7,0.236,3.207,2016
QP039001,11670.0,58.3,0.219,3.079,2016
QP039002,12950.0,45.0,0.218,3.07,2016
QP039003,13380.0,41.0,0.213,2.917,2016
QP039004,14020.0,37.1,0.224,3.078,2016
QP040001,14900.0,32.0,0.25,3.532,2016
QP040002,13300.0,43.4,0.222,3.044,2016
QP040003,14500.0,33.8,0.243,3.265,2016
QP040004,12860.0,46.8,0.207,2.905,2016
QP040005,13700.0,40.7,0.242,3.406,2016
QP041001,12070.0,54.2,0.221,3.114,2016
QP041002,12290.0,52.5,0.213,3.07,2016
QP041003,11350.0,57.1,0.261,3.848,2016
QP042001,13310.0,44.2,0.208,2.905,2016
QP042002,14070.0,37.6,0.205,2.868,2016
QP042003,12690.0,48.1,0.211,2.833,2016
QP042004,13500.0,41.4,0.197,2.632,2016
QP042005,14390.0,36.2,0.204,2.785,2016
QP042006,12680.0,48.4,0.236,3.277,2016
QP042007,13380.0,41.2,0.199,2.69,2016
QP042008,13080.0,46.0,0.249,3.737,2016
QP042009,14020.0,39.3,0.258,3.676,2016
QP042010,12760.0,48.5,0.25,3.429,2016
QP042011,13180.0,45.5,0.227,3.17,2016
QP042012,12660.0,49.0,0.264,3.836,2016
QP042013,12740.0,48.0,0.215,3.018,2016
QP042014,13850.0,40.4,0.272,3.969,2016
QP042015,12170.0,54.7,0.191,2.689,2016
QP042016,13440.0,41.5,0.209,2.861,2016
QP042017,13050.0,45.6,0.206,2.819,2016
QP042018,11550.0,57.5,0.232,3.167,2016
QP042019,12650.0,48.8,0.252,3.578,2016
QP043001,13400.0,40.4,0.219,3.016,2016
QP043002,14120.0,35.4,0.206,2.783,2016
QP044001,13810.0,39.4,0.227,3.241,2016
QP044002,12490.0,49.8,0.235,3.349,2016
QP044003,12900.0,45.2,0.242,3.565,2016
QP044004,12910.0,45.6,0.216,2.819,2016
QP044005,14050.0,38.1,0.235,3.304,2016
QP044006,12400.0,50.9,0.221,3.079,2016
QP044007,13080.0,43.6,0.212,2.935,2016
QP044008,13140.0,43.7,0.218,3.03,2016
QP044009,12590.0,49.2,0.202,2.785,2016
QP044010,13090.0,44.3,0.196,2.689,2016
QP044011,13100.0,44.2,0.202,2.783,2016
QP044012,13690.0,40.3,0.223,3.049,2016
QP044013,13250.0,44.1,0.233,3.244,2016
QP044014,12720.0,47.6,0.234,3.338,2016
QP044015,13130.0,42.9,0.18,2.475,2016
QP044016,13760.0,40.9,0.241,3.344,2016
QP044017,13240.0,43.8,0.229,3.178,2016
QP044018,14220.0,37.6,0.22,3.101,2016
QP044019,11740.0,56.8,0.215,2.956,2016
QP045001,14390.0,32.5,0.192,2.596,2016
QP045002,12680.0,47.1,0.217,3.035,2016
QP045003,12360.0,51.2,0.226,3.207,2016
QP045004,13740.0,40.3,0.231,3.346,2016
QP045005,12270.0,51.9,0.235,3.31,2016
QP045006,13710.0,39.6,0.237,3.278,2016
QP045007,12810.0,48.0,0.227,3.105,2016
QP045008,15480.0,32.1,0.244,3.454,2016
QP045009,13790.0,37.4,0.196,2.749,2016
QP045010,12640.0,48.6,0.223,3.171,2016
QP045011,13020.0,45.0,0.243,3.443,2016
QP045012,13300.0,41.7,0.218,2.977,2016
QP045013,13860.0,40.7,0.235,3.198,2016
QP045014,11710.0,56.5,0.22,3.066,2016
QP045015,13580.0,42.4,0.219,2.925,2016
QP045016,11320.0,63.8,0.199,2.735,2016
QP045017,12610.0,48.5,0.226,3.085,2016
QP045018,12870.0,46.9,0.202,2.835,2016
QP045019,11500.0,56.4,0.225,3.19,2016
QP046001,14430.0,39.9,0.257,3.713,2016
QP047001,11630.0,60.7,0.206,2.778,2016
QP047002,10990.0,62.0,0.183,2.491,2016
QP047003,15230.0,33.4,0.29,4.452,2016
QP047004,13260.0,44.7,0.258,3.853,2016
QP047005,13730.0,41.0,0.293,4.279,2016
QP047006,12610.0,48.8,0.233,3.137,2016
QP047007,13640.0,39.9,0.279,4.018,2016
QP049001,13590.0,41.1,0.211,2.9530000000000003,2016
QP049002,12650.0,48.8,0.221,3.04,2016
QP049003,12470.0,50.2,0.235,3.248,2016
QP049004,13020.0,46.8,0.204,2.811,2016
QP049005,12430.0,50.4,0.217,2.975,2016
QP049006,14060.0,37.4,0.199,2.696,2016
QP049007,12730.0,46.8,0.208,2.872,2016
QP049008,12300.0,51.2,0.227,3.134,2016
QP049009,12380.0,51.3,0.199,2.782,2016
QP049010,12430.0,50.4,0.199,2.685,2016
QP049011,13900.0,38.1,0.204,2.82,2016
QP049012,13980.0,36.7,0.187,2.529,2016
QP049013,13410.0,42.4,0.219,3.043,2016
QP050001,14170.0,37.6,0.201,2.77,2016
QP050002,14230.0,37.4,0.217,3.039,2016
QP050003,13320.0,43.3,0.233,3.375,2016
QP050004,13470.0,42.3,0.212,2.969,2016
QP050005,13020.0,45.3,0.227,3.183,2016
QP050006,14340.0,37.1,0.216,3.053,2016
QP050007,15130.0,35.3,0.273,3.944,2016
QP051001,12750.0,48.4,0.226,3.126,2016
QP051002,12520.0,49.5,0.21,2.897,2016
QP051003,11050.0,63.3,0.222,3.118,2016
QP051004,13180.0,43.9,0.225,3.147,2016
QP051005,12700.0,48.3,0.218,2.992,2016
QP051006,13400.0,43.9,0.234,3.262,2016
QP051007,13290.0,45.2,0.24,3.384,2016
QP051008,13610.0,44.7,0.246,3.383,2016
QP051009,13810.0,40.0,0.235,3.189,2016
QP051010,13660.0,39.8,0.208,2.841,2016
QP051011,12210.0,51.5,0.199,2.596,2016
QP051012,12690.0,47.6,0.216,3.052,2016
QP052001,12100.0,54.0,0.205,2.778,2016
QP052002,13960.0,39.2,0.201,2.853,2016
QP052003,12010.0,53.5,0.226,3.237,2016
QP052004,12500.0,49.9,0.218,2.944,2016
QP053001,12860.0,47.6,0.19,2.66,2016
QP053002,11590.0,58.4,0.206,2.842,2016
QP053003,13430.0,42.9,0.225,3.089,2016
QP054001,13870.0,36.8,0.193,2.612,2016
QP054002,13390.0,42.9,0.263,3.936,2016
QP054003,14450.0,37.4,0.291,4.842,2016
QP054004,14100.0,39.7,0.27,3.835,2016
QP054005,12830.0,47.3,0.252,3.716,2016
QP054006,13390.0,42.3,0.217,2.918,2016
QP054007,14530.0,36.8,0.251,3.384,2016
QP054008,14000.0,35.8,0.267,3.845,2016
QP054009,15400.0,33.4,0.278,4.128,2016
QP054010,11460.0,58.2,0.217,3.001,2016
QP054011,12190.0,51.5,0.207,2.87,2016
QP054012,11500.0,58.7,0.205,2.832,2016
QP054013,12790.0,47.7,0.229,3.14,2016
QP054014,13050.0,45.1,0.213,2.9450000000000003,2016
QP054015,11660.0,56.8,0.229,3.208,2016
QP054016,13060.0,45.7,0.238,3.368,2016
QP054017,15350.0,32.6,0.293,4.534,2016
QP054018,13440.0,43.1,0.221,2.973,2016
QP055001,12660.0,48.7,0.226,3.1,2016
QP055002,11800.0,54.0,0.206,2.758,2016
QP055003,13790.0,43.0,0.293,4.26,2016
QP056001,12750.0,48.0,0.213,3.008,2016
QP056002,12020.0,53.4,0.2,2.661,2016
QP056003,13680.0,39.4,0.217,3.023,2016
QP056004,13090.0,43.4,0.256,3.698,2016
QP056005,12690.0,48.6,0.231,3.195,2016
QP056006,11220.0,60.5,0.226,3.215,2016
QP056007,13080.0,42.6,0.205,2.909,2016
QP056008,11740.0,56.0,0.251,3.478,2016
QP056009,12350.0,51.3,0.21,2.884,2016
QP057001,14110.0,35.6,0.251,3.447,2016
QP057002,13160.0,44.4,0.2,2.757,2016
QP057003,12550.0,49.5,0.209,2.825,2016
QP057004,12220.0,51.6,0.248,3.41,2016
QP057005,12970.0,45.4,0.215,2.962,2016
QP057006,12180.0,53.7,0.23,3.145,2016
QP057007,13070.0,46.1,0.243,3.418,2016
QP057008,12570.0,49.2,0.205,2.768,2016
QP057009,12570.0,49.0,0.244,3.368,2016
QP057010,11920.0,56.2,0.199,2.655,2016
QP057011,13760.0,43.5,0.292,4.238,2016
QP057012,13300.0,44.8,0.191,2.584,2016
