iris,com,tx_f,tx_tot_et,ind_jeune,tx_tot_empl,tx_tot_infbac,tx_tot_diplbac,tx_tot_diplbac2,tx_tot_men1,tx_tot_fam_mono,tx_l_2piec,tx_l_5piec,tx_l_vacant,l_nbpers
010040101,01004,0.46819215858975105,0.1494241028306444,1.2215614200931173,0.6357971215767682,0.5972344424561867,0.20693110374672039,0.1958344545490925,0.3973681682497897,0.06255670659320392,0.07658724605413751,0.3329514223168107,0.10263980442182202,2.1925850257200175
010040102,01004,0.5060797596153098,0.13102487145947106,1.4272601535704628,0.6086456232976124,0.6884572112899621,0.17280706384989056,0.13873572522903718,0.36230683159652305,0.11954638726885532,0.12344988988691162,0.24693725840970532,0.05354243306873306,2.2907809402583394
010040201,01004,0.5509303380094119,0.06760434930316665,1.0846779690183241,0.6817381622801176,0.5885847739275608,0.18801441748815403,0.22340080895547154,0.3967439511649281,0.12175722757291131,0.13570717647048694,0.20600737401192434,0.08181974844233075,2.058339306826624
010040202,01004,0.5055137287424952,0.03191210985849034,1.7641062881888117,0.6938977310462077,0.5111065063925648,0.18819667897813624,0.3006968146292989,0.2554892522965373,0.058814204091218125,0.05565732992079368,0.5341847573804562,0.08364116470523429,2.5182603949234137
010530101,01053,0.5278426659851141,0.028319213987313976,0.8493548957417335,0.644267571260247,0.5229735190570882,0.1575871063610609,0.319439374581851,0.6510155869353969,0.05326093639348722,0.27182924763606603,0.11743544292536533,0.16315464632537965,1.5155435502369339
010530102,01053,0.535747051921057,0.032624692513239045,0.5080844983479357,0.6534976946631149,0.590571316324773,0.18800732298997963,0.22142136068524743,0.6081586136068214,0.0669204429495333,0.22877550888170228,0.12906335467957722,0.08648408827709719,1.5820270252565036
010530103,01053,0.5384605775906186,0.0486943371407499,0.8638515946086578,0.6111591613597862,0.5301069422678577,0.1292598776376453,0.34063317939911913,0.5336043093279141,0.07966049013526666,0.2074086801360317,0.21736405595490166,0.16023458526702866,1.8198617532865788
010530201,01053,0.5795182767387461,0.08515237221535087,0.6053254673239804,0.6567963452808067,0.5682498582724456,0.17009288725121716,0.26165725518099364,0.5501711388965463,0.05837206241836292,0.1543455569623773,0.22215489735636038,0.12188558058494436,1.802051542090988
010530202,01053,0.5372015680480171,0.045836891385709566,1.2297835054812885,0.637957744278622,0.6453139316114086,0.14367750005088054,0.2110085683377108,0.4966133149566995,0.0933644548471295,0.1712597857162433,0.14229432381784127,0.06021648940072026,1.8906794599233148
010530203,01053,0.5333716625101523,0.0298205600634542,0.9995379403700376,0.7031089056485005,0.5654485910883882,0.1470837317850875,0.2874676771265243,0.45672816194312554,0.0826398934009889,0.16099970018922094,0.253667764614329,0.08450431814518711,1.9602695595803714
010530301,01053,0.555612771062951,0.025863076766741135,0.8732059549911164,0.6738797122917434,0.4058791573539469,0.1974150750976157,0.39670576754843745,0.5871911926152578,0.07157385756956876,0.16593319555292974,0.19189112968928865,0.11599707718671984,1.6314925282956374
010530302,01053,0.5641527370107047,0.02404525390873631,0.7465930843827213,0.6398867392809368,0.5448607295575385,0.1606364012079192,0.2945028687203386,0.5392113782637908,0.08797674041385893,0.2012007613762672,0.20707966373026923,0.1460853976700446,1.7372422629389057
010530401,01053,0.5408427799913633,0.08573985690156415,0.7750617178411118,0.5501310321388693,0.645924494851197,0.15956969819712888,0.19450580750937194,0.35875334314134955,0.1143832466172809,0.062057027742820584,0.2963261635082449,0.08231989575648786,2.2743952635558955
010530402,01053,0.5162073639318077,0.04067544815262815,1.2072391618882357,0.6734428670500456,0.573675386750687,0.1854445006336403,0.24088011202991577,0.3303072653932081,0.08023534599805114,0.06437631689609595,0.4593798855523637,0.04842829851498565,2.3250169844426334
010530501,01053,0.6093779780308186,0.0075402307495412366,0.43084167995010686,0.6381954184672605,0.5323940954566576,0.18374752519707274,0.28385837934626956,0.5276286251055964,0.07218164821255672,0.1378524275296885,0.33471679127482123,0.05065511159876866,1.783723950167196
010530502,01053,0.5202860774265706,0.0663148122877252,0.8360815503236856,0.6369161798906777,0.5869278486092574,0.15571258562705179,0.2573595662627884,0.40983571746032527,0.09215899172753364,0.12488834370173378,0.3217863659478457,0.06248322281001146,2.0593181783799284
010530601,01053,0.5608863634243436,0.17842689913147053,1.2846045650984501,0.5522926261770215,0.7566657678961388,0.13344887568211194,0.10988535696831475,0.46858896315955306,0.1136859219569633,0.14971255870080208,0.1423468218800031,0.09135693310800981,2.1796912988091313
010530602,01053,0.5425672467188514,0.13691038156139895,0.8860271550637865,0.5364772265241038,0.6990970700878808,0.17862415467833076,0.12227877597842118,0.5189860186236196,0.07458925538620487,0.15586975570635236,0.12878776779008225,0.04957608949483692,2.029910637547961
010530603,01053,0.5582863455270024,0.17356020812361284,0.6929042519691542,0.4583985583249387,0.7996027900413931,0.09350118918109707,0.10689602156479724,0.57282523017005,0.11335175219232396,0.18685060024465933,0.05611368451328461,0.09672812566112782,1.7413295879788397
010530604,01053,0.47181835069457784,0.09173973714981012,0.6775019316251576,0.5431844284677908,0.6782268348707675,0.1318837165246515,0.18988944860458112,0.2425236415130698,0.048867635730256834,0.009109298916124478,0.48670122894606554,0.024712935851644115,2.470979957276236
010530701,01053,0.3732804109268239,0.0691620331527659,1.7972047170599594,0.45167230863961655,0.674451146922625,0.15947970049217677,0.1660691525851981,0.3259218106790431,0.09808431253301408,0.054691880409539206,0.4983781243339379,0.03393105925334392,2.377746352102583
012830102,01283,0.5026747246850732,0.35789618485414465,2.4498129518582834,0.5071029858241286,0.8367500585932726,0.10789811016394496,0.05535183189372839,0.20554452531242395,0.18014698188692363,0.03054614144855002,0.17646966825542879,0.03291303339967438,2.784095244324539
012830103,01283,0.5479073606154755,0.30861827046236384,1.0967082347051913,0.5517395783634439,0.8710044435903853,0.08217723410885952,0.046818321811561016,0.3601351065038511,0.11881411927387112,0.11178927146528503,0.15480285966250554,0.03883597771712428,2.3185596053751585
012830104,01283,0.48870768217504396,0.35684244862048903,2.557647266154918,0.45343282652302075,0.8216351410605394,0.10127776239501454,0.07708709585680475,0.23917082860334302,0.09157074553137656,0.09643199756241932,0.15708248267742164,0.17072859302194748,2.9107915622294316
012830201,01283,0.5177627760745395,0.18549060270739934,0.7770793695484448,0.5824134839284755,0.6613092626031926,0.10205699772028015,0.23663373906786328,0.41166430825456385,0.08527873902188148,0.16338636476189666,0.28576979708621864,0.19532530667022666,2.1177825162061215
012830202,01283,0.4949617420427163,0.16747682478431045,0.9452319482138597,0.6038959341045895,0.6943806793434438,0.1390731120780153,0.16654620797169506,0.4217025385472871,0.06838065892821457,0.17723372462544698,0.19859325514958434,0.20933967157402064,2.0520263418595155
012830203,01283,0.46721160969714726,0.2932032451977478,1.3934480296457539,0.4456840629299975,0.7963449251842257,0.11030015236482796,0.09335492245094637,0.24063357429543678,0.059107535970774866,0.11232125184369322,0.2931745650901169,0.034411899453169886,2.681081986507126
012830301,01283,0.5089952594052777,0.20609256028789383,1.186267445473393,0.6399749895652314,0.7098881860666018,0.15346482795697003,0.13664698544766263,0.32237392914306595,0.09744836917440303,0.1868665454547311,0.24781927071736284,0.09491105722250513,2.255862003338348
012830303,01283,0.5224100586313214,0.18012225943391702,1.5345346128366495,0.6450139576993285,0.66262516077891,0.15064685549565313,0.18672798304008628,0.42783954716658107,0.08188535921857452,0.1871951545879439,0.16392755379722523,0.15910298289243477,2.161390252039228
012830304,01283,0.5237101023763812,0.1750469880031812,1.0794289360709286,0.694839480668314,0.6751672653804643,0.1610260317692856,0.16380670285025015,0.4119955166747508,0.08112446763427181,0.19709149922044342,0.2148953777321894,0.08752114917917206,2.0853759090660895
012830305,01283,0.5119058658253346,0.06275573043781794,0.7376637192822444,0.6882360745396539,0.5787527457178566,0.20801465590222354,0.21323259935444,0.23794464490712322,0.031965219282879424,0.04408634940104723,0.5892875686135912,0.07818555911316216,2.348627577138245
021680101,02168,0.5293680290361503,0.07536045396660378,1.0954817289323344,0.6829687032200836,0.6264671050706048,0.13894279299969706,0.23459010192969806,0.5715704086366306,0.09845245505283753,0.26904434842892233,0.13810537544305024,0.10912851753157252,1.7480171343716342
021680201,02168,0.5437076544610259,0.04566976164017584,0.6950032563310502,0.5892072559354591,0.6765986575886812,0.1231835818465199,0.20021776115408124,0.40493339765758884,0.09846753320483884,0.17778877226317205,0.3104610358459754,0.09627692776398987,2.085784850995963
021680401,02168,0.5498439355327157,0.036826650330970975,0.7706416501926483,0.6428118262410456,0.6611432744836621,0.1510441496673257,0.18781257512620397,0.3926557483089069,0.09365592594414655,0.13614794140293898,0.2376702790422631,0.0774433620704522,2.027662649110685
021680601,02168,0.5151176745778943,0.054209268421502144,0.6375219471145558,0.6088631430817892,0.6369281832633445,0.12039045454924063,0.2426813636191937,0.29286300869637416,0.052550207356522195,0.07101530435239455,0.4138522052080767,0.08414080936297139,2.262686826985838
021730101,02173,0.5490504604765379,0.06316613077343734,1.247979367959999,0.4558428955450067,0.7646770143423259,0.12304884964668751,0.11227413601098653,0.4054537196134069,0.1734784830317144,0.16310052151895818,0.25970997293595166,0.046482628261606186,2.114751599995267
021730201,02173,0.5328759598644035,0.03533526950025809,0.931027306332113,0.5595165498809194,0.6881161943648509,0.14982365653874644,0.16206014909640265,0.3751060939780201,0.10241006918379189,0.07728035499832714,0.34792228776699713,0.13946984651530753,2.115560044374791
021730301,02173,0.5502481841636047,0.01246393182260161,0.8798223785296868,0.6066744005709029,0.6330831105597335,0.17901021590413765,0.187906673536129,0.38011617997518354,0.09799818485508346,0.1348732685373069,0.3329266509414596,0.07271485833729967,2.1159162681180654
024080101,02408,0.5579040896144363,0.09502468486037151,1.5401826906193377,0.43661829048515566,0.8296822351725306,0.09663500167619705,0.07368276315127233,0.44578153282370747,0.1666587336253917,0.07825191764267124,0.17322129926372556,0.06415354325758382,2.0915898520735263
024080102,02408,0.5615371960844582,0.08660180328571582,3.0877010431413883,0.3934285468799227,0.9153518226876101,0.0720620749845287,0.012586102327861204,0.2421449385056829,0.25848565519255323,0.02605099364949092,0.18952576888367564,0.05949955620325851,2.7916452124151463
024080103,02408,0.5412466332181594,0.08742238799912913,1.2757802886823975,0.48179487043689384,0.7614787856372958,0.13249549063456495,0.10602572261805006,0.405394754236019,0.13263561579506453,0.02701249334620152,0.2155028369945021,0.05661262419451098,2.2279491565829526
024080201,02408,0.4612778958127111,0.020618399348004655,1.4357793865216684,0.4624794218891938,0.759387971990618,0.13173058568309642,0.10888144198069458,0.28552815406414306,0.1073526504051885,0.02897196526732936,0.3906145858284447,0.048507344172674986,2.4038316823723913
024080301,02408,0.5551880020168378,0.01712327122614393,0.9323594688659739,0.5901909511484362,0.5492187695405147,0.1858610973196253,0.2649201338372684,0.5682706553523705,0.05831567662550931,0.10697807111498076,0.24906795933853737,0.12235962117887103,1.8057285514370456
024080401,02408,0.5494907585033327,0.006154365014391185,0.9125639161884197,0.6331468576861609,0.5870174404663705,0.17482780423315555,0.23815475645515394,0.2557958081326623,0.09625799960734581,0.010462111571949533,0.4657961676458003,0.060373995175394095,2.274527209593833
024080402,02408,0.5285226825475383,0.036735506798231475,2.272999415893565,0.6192264287046169,0.6734737985611401,0.18381148071299017,0.14271472134945454,0.4348279555639935,0.14634789984821103,0.1732286833978833,0.16809004502141947,0.036441215212150345,2.0232023070951066
024080501,02408,0.5444645498610504,0.036372541442265045,1.637791499952446,0.5900110221851248,0.4174049308686692,0.19043431063051974,0.3921607585008111,0.5699268513749308,0.07782409903372715,0.22308233349760742,0.2298782690541642,0.1721355391864039,1.7700387053651585
024080601,02408,0.5006520196878337,0.0246150327988668,0.7993745407772186,0.6208155208318255,0.6047291876443865,0.14776618500487615,0.24750462679563123,0.4582766892614548,0.08964168681017408,0.09768286334059254,0.3814483562192811,0.10743993674292765,1.9723565005479
024080801,02408,0.5543002684247279,0.050109766309090926,0.8857899472576234,0.5152962114679742,0.7604823434963863,0.10751491162790164,0.13200274487571198,0.4511956359592338,0.13665079652114692,0.15743556599212208,0.28407373798650715,0.0439568629780583,1.9901240963119677
024080901,02408,0.5369645776007212,0.057240195518638896,0.5892508470914002,0.6038201657170316,0.642147369294893,0.14061436770499305,0.21723826235676733,0.35365510337781364,0.042059205997810954,0.0986332999106759,0.4760151353771197,0.11588531763796071,2.0792184721707168
026910101,02691,0.5350020667058996,0.04029601102118592,0.7622353340785454,0.5890854730309539,0.5107031751616754,0.1742115421501735,0.31508528268815106,0.52367661246825,0.0857443898929206,0.20038727714427343,0.32001712983367264,0.20007105573638845,1.749216859881007
026910102,02691,0.5194595281758081,0.051590992241810255,1.0284063705627318,0.6085255880144794,0.43203880318669835,0.18255303748232568,0.3854081599608287,0.5081339834551596,0.09431152640705388,0.18171077765001184,0.3450461834321273,0.16890253916814477,1.9132644425416563
026910103,02691,0.5465641461071049,0.044890440438081894,1.056414716221159,0.6346764007653182,0.5001159760094791,0.1820871038322156,0.31779692015830524,0.5432382748189167,0.09449235455462791,0.2957048517646822,0.16823908762172285,0.19088801740776254,1.7687169522130686
026910104,02691,0.5006874146269721,0.03880934151653816,1.154699090060171,0.5821042513634812,0.5535302517781868,0.14522174446604433,0.3012480037557688,0.5088012432715344,0.09096342671375413,0.22861590772374243,0.27239503604783344,0.1833564304830259,1.830160120879098
026910401,02691,0.5522013633456131,0.032759807555471365,0.9281341057517395,0.5156714442204451,0.7989223753823083,0.08833221989262845,0.11274540578504637,0.35649114622882766,0.12968901799799396,0.05421987775879521,0.34896466004837046,0.06149937926154717,2.1481041880656284
026910402,02691,0.5316304245085022,0.03414029574191933,1.1270308619633216,0.5048618496671575,0.7993592763364631,0.08313979544475951,0.11750092821877754,0.38729588930660863,0.11538024688224267,0.09499109976799594,0.2983944946459105,0.05599469112007742,2.1220182341550737
026910403,02691,0.5165011762960422,0.020202550653251834,0.905143538606238,0.5230538095670543,0.7618917186090947,0.11376794752075854,0.1243403344110717,0.28888112730209914,0.08825502926833298,0.06711324871869152,0.4225022464828063,0.06471367659939557,2.365002378392167
026910601,02691,0.5033096828378818,0.03523854047252681,1.058768659128186,0.5345803002557483,0.7377813587232098,0.10075359735212269,0.1614650442968735,0.36333441662052585,0.0966955026929735,0.0877742539434246,0.32702757767208845,0.12084755409170117,2.1588031281123716
027220201,02722,0.5835632264560534,0.03044621141358936,0.7036147792698849,0.5486746721498438,0.7464552619158727,0.12815766529926448,0.12538707345184258,0.4771735713608196,0.1158665668784566,0.2500632391739862,0.09538640546705117,0.02958739767549842,1.9053198144946353
027220301,02722,0.5406273210549424,0.03778302126287076,0.5808566687740546,0.6575403118718776,0.609703611459224,0.13047987076247655,0.25981651777829934,0.3266177747657498,0.032542021607610584,0.04961002568228009,0.46016323382120417,0.07810943418127977,2.1115959026254862
027220501,02722,0.5558625593309501,0.048239316130508886,0.6557808553756401,0.5724636497777221,0.5871219437248885,0.18512343528377118,0.22775462099134053,0.3707695753313042,0.08433076632238562,0.05110570308264654,0.41786693176183265,0.08696234842843345,2.1801493093845674
027220502,02722,0.5590701274769984,0.02934783427640296,0.5409157920760997,0.6032076795789388,0.6536154214192238,0.12631091065905792,0.2200736688142304,0.5377224891734164,0.08487513422141804,0.21819248750343995,0.1954790613656643,0.09841334768734344,1.7488120322040428
027220503,02722,0.5345398810406478,0.0253172836177707,0.923942556446138,0.6383638505431498,0.5001739945967993,0.16138160655728134,0.3384443988459195,0.49904513702201003,0.08856138248817101,0.19389896063102363,0.2109295801638838,0.13707843144527926,1.8857774127416418
027220701,02722,0.5184226290860554,0.04816598937748785,1.0235515676109699,0.6424200707774846,0.6367037466921781,0.17455286353982125,0.18874338976800073,0.3464349913290121,0.08788853824522364,0.15486420825532454,0.3032109050187119,0.11516820710164113,2.1605873568830303
027220801,02722,0.524344515413732,0.059066051982350425,1.4949343784311122,0.5851557049537726,0.7002696530796735,0.138913171750784,0.16081717588160355,0.37694225816646465,0.11276646995428291,0.18369966540882093,0.21549370387031438,0.062217837506091965,2.1954901563102007
027220901,02722,0.5070962003304905,0.07108876865774189,0.9085663046046523,0.6698508672157198,0.5207515039191639,0.1548485613747189,0.32439993412085344,0.4753643696942175,0.05891656924632838,0.1651399444868787,0.3203984932427834,0.10705808726127056,1.9843895800711782
027380101,02738,0.5281496945072113,0.015514209547895896,1.2276966851895275,0.5482673479554876,0.7392125545470997,0.16720556968357864,0.09358187481805545,0.28495897866619846,0.0948661641855654,0.027321938249394925,0.4088920161816871,0.10463328288730651,2.4410493998153613
027380102,02738,0.5069810426593367,0.009666976425287108,2.021343852138532,0.5601199654430654,0.8199288971558925,0.11273973396242969,0.06733136700821056,0.24745766788705334,0.13048143406611698,0.07236630966147838,0.20537449427214963,0.08824040093445525,2.5089518482754882
027380201,02738,0.5169664012908118,0.012226572405785282,1.4570487070009206,0.5261216422841842,0.7529746592112259,0.13693873438982038,0.1100866052738054,0.31268568313912243,0.1407245740442702,0.10890192914354845,0.36502866666885797,0.0477090315083331,2.3771624886041316
027380301,02738,0.5352189945694387,0.013469782853097419,0.8262234256983142,0.5430643237026009,0.7393005201167312,0.13741410628489614,0.12328537305148445,0.33158625911297374,0.09765582182633031,0.03650400517219828,0.3668597564922226,0.11876022248062137,2.236420778332669
027380302,02738,0.5177025609792056,0.045624028210694126,1.1404932561288876,0.4584804903144182,0.7742521231722194,0.11278547772507296,0.11296239910270763,0.3845131281443921,0.12110565248304808,0.1500465513701084,0.3245191145819616,0.08472036129560569,2.2151691836454908
027380401,02738,0.5229685621146173,0.017581309556112687,0.9326366288629507,0.5280519146964316,0.7782456210490062,0.12282609269705391,0.09892828587264683,0.31180857764009423,0.08280674762230256,0.06872813649964314,0.35928293943697626,0.06990828021571514,2.302299579084346
028100102,02810,0.5191431235674279,0.047994531649436574,0.7313392394252539,0.6166140573691803,0.7274639693235226,0.13310564798092903,0.13943038210856976,0.3660691835121887,0.11603016355254171,0.12456335931701414,0.28356917213676014,0.07699994277066076,2.1312138739276274
028100202,02810,0.5041651019818771,0.061731758915219606,0.8639028466963096,0.6585829542603391,0.6508491871490671,0.13843362717991167,0.21071718567102127,0.40323140409871,0.08532713369624338,0.18261068706204406,0.26864647127036345,0.09388427834912604,2.0660090311501795
028100302,02810,0.49488234065387904,0.040726066513633065,1.4936317687378367,0.665337334209188,0.730646003026919,0.1407360959642817,0.12861790100879944,0.20581369182758497,0.08177790729340896,0.05581113470425169,0.5047259259880306,0.04979127596500265,2.641117834946124
030950101,03095,0.5853933967116166,0.020536461066013968,0.3775581334881927,0.5672005892690282,0.7415665873047148,0.09181744905400194,0.1666159631312473,0.5130334857225061,0.11368511784716905,0.14385095031483178,0.20923784339298723,0.13623436797146904,1.7574428472808026
030950102,03095,0.5516277078444192,0.08693242800482921,0.8308219921958092,0.5307757223625419,0.7333851928954026,0.14052066606806424,0.12609414174632952,0.34086528963994295,0.11197370903032093,0.0993173928950739,0.32248831288055385,0.06437786678265092,2.083585076492936
030950103,03095,0.5296566828726101,0.07694980727331949,1.1096070201722632,0.5141897092538593,0.6860080193955488,0.1359673257827618,0.17802465527098976,0.4813651588510559,0.13053438939288894,0.17223760023657408,0.15306585599565345,0.09073866287712885,1.9471647206387164
030950106,03095,0.5033804575686849,0.015677687312240313,0.8165746203456683,0.6317984492079278,0.6618861379079237,0.13014313507186143,0.20797072628483274,0.2289724991965995,0.03717509677644526,0.02217836358203308,0.47315078785726195,0.0348372774746884,2.383236159051249
030950111,03095,0.501191081415243,0.06642978923700793,0.7072576468364133,0.5821154592389528,0.7224953515785978,0.12821196910788976,0.14929267872070806,0.35373072131867517,0.08313760079135137,0.08667059214141953,0.31545300757362404,0.08358362873863279,2.1334578819186287
031850101,03185,0.5331658334096622,0.0312672002521035,0.6607115415793567,0.5996067275993154,0.47745140740702396,0.16968011442751774,0.35286847816545824,0.6166246577983391,0.061955576022594244,0.23901392267010949,0.20271241741867657,0.24922096552996786,1.6547020906736716
031850102,03185,0.5307224116940409,0.03281806548810965,0.6795987876385553,0.5781197289802369,0.6069932795390824,0.14371176403763442,0.24929495642328303,0.6289155542331284,0.07195687042412414,0.2012976559199868,0.17609838641960676,0.15465336223745793,1.5977948767603927
031850103,03185,0.5571899652127051,0.04214698099020854,0.6225951946085417,0.5810603054928957,0.6740991508963619,0.16529806049914322,0.160602788604495,0.5308171863840856,0.07660527570492422,0.1655834311839438,0.19713447997042496,0.1471864921277218,1.8046775999475275
031850104,03185,0.5212820163146311,0.056423265151933716,0.6415021079815872,0.5584927633548971,0.6959598399400995,0.13856921019114823,0.16547095062022985,0.5065777971379966,0.07727251270900706,0.1409964324654868,0.2122118781718792,0.17577731715434278,1.8401873049567465
031850105,03185,0.5466654755655437,0.10342343063626282,0.7482696051683614,0.483894218719391,0.8130759123212781,0.09511566063607733,0.09180842633569516,0.45122394560866175,0.08213845077972896,0.07517032789372713,0.19861494897827392,0.12411547046832487,2.0311018881152494
