code_qpv,iris_controle,distance_pauvrete
QP010001,103871001,6.280508364830268
QP010001,103870801,6.822047734034506
QP010001,103871003,6.837730491200041
QP010001,103871104,11.956368657996105
QP010001,103870301,13.682667420038193
QP010002,103870801,0.9112855992988287
QP010002,103871104,4.223035324662771
QP010002,103870301,5.949334086704859
QP010002,103871002,7.2342323767589285
QP010002,103870302,8.74035176648653
QP010005,103330201,19.6700511600029
QP010005,103330202,35.034535959038216
QP010005,103330102,36.95011365816856
QP010005,103330101,
QP010005,103330103,
QP010007,103871003,10.69560284213329
QP010007,103871001,11.252824968503063
QP010007,103870801,24.355381067367837
QP010007,103871104,29.489701991329436
QP010007,103870301,31.216000753371524
QP010008,103871003,6.4956028421332945
QP010008,103871001,7.052824968503067
QP010008,103870801,20.15538106736784
QP010008,103871104,25.28970199132944
QP010008,103870301,27.01600075337153
QP010009,103871003,1.462269508799956
QP010009,103871001,2.0194916351697287
QP010009,103870801,15.122047734034503
QP010009,103871104,20.256368657996102
QP010009,103870301,21.98266742003819
QP010010,103230102,26.36188732404242
QP010010,103230101,30.456979025241736
QP010010,103230201,32.64961917444506
QP010010,103230202,37.34453497265773
QP010010,103230104,
QP011001,112060101,3.607451814130272
QP011001,112060102,18.449295931539265
QP011001,112060104,22.54616209700383
QP011001,112060103,28.50418844608771
QP011002,110690102,15.480996114927933
QP011002,110690301,18.801473545287138
QP011002,110690103,22.467475412431142
QP011002,110690401,28.488944857220414
QP011002,110690302,31.234406728187444
QP011003,110690102,20.3476627815946
QP011003,110690301,23.668140211953805
QP011003,110690103,27.33414207909781
QP011003,110690401,33.35561152388708
QP011003,110690302,36.10107339485411
QP011004,110690301,0.1651931213795379
QP011004,110690102,3.4856705517387425
QP011004,110690103,3.5008087457644663
QP011004,110690401,9.522278190553738
QP011004,110690302,12.267740061520769
QP011005,110690102,4.180996114927929
QP011005,110690301,7.5014735452871335
QP011005,110690103,11.167475412431138
QP011005,110690401,17.18894485722041
QP011005,110690302,19.93440672818744
QP011006,110690102,4.414329448261263
QP011006,110690301,7.734806878620468
QP011006,110690103,11.400808745764472
QP011006,110690401,17.422278190553744
QP011006,110690302,20.167740061520774
QP011007,112620101,4.944392831000506
QP011007,112620503,6.787874557849186
QP011007,112620102,10.620864399786747
QP011007,112620201,17.194978310337916
QP011007,112620301,21.45881915362338
QP011008,112620101,2.655607168999488
QP011008,112620102,3.0208643997867526
QP011008,112620201,9.594978310337922
QP011008,112620301,13.858819153623386
QP011008,112620503,14.38787455784918
QP011009,112620101,2.0443928310005077
QP011009,112620102,7.720864399786748
QP011009,112620503,9.687874557849184
QP011009,112620201,14.294978310337918
QP011009,112620301,18.558819153623382
QP011010,112030106,12.775993110818533
QP011010,112030104,15.827163208874353
QP011010,112030102,23.843354776125032
QP012001,121760201,23.866435095215785
QP012001,121760301,
QP012002,123000103,23.31143623506467
