IRIS,pop_2013,pop_2018,evol_pop_pct
010040101,1923.6468114881256,1912.68014382242,-0.5700977747168601
010040102,3802.078776686964,3588.3203297743,-5.6221467115136425
010040201,3837.8113649041625,4180.42081438209,8.92720920603358
010040202,4795.463046920751,4522.57871202118,-5.690468933438975
010530202,2069.769671343284,2032.67763996626,-1.792084978854247
010530401,2347.4286066484,2169.73554472957,-7.5696897198733515
010530601,2851.152455264576,2550.12722938546,-10.558019278249443
010530602,1777.1744104036422,1904.79250024208,7.180954727423305
010530603,1487.7089351382897,1747.71986795121,17.477271707637556
012830102,2177.2203688279174,2253.85094086277,3.519651622408171
012830103,2798.59682918472,2830.45863438048,1.1384921494762779
012830104,2241.0107643502097,2407.83443797068,7.44412638592753
012830202,1937.125217593262,2216.38210330829,14.416047201222447
012830203,2412.067677740832,1921.77619779927,-20.32660544586271
021680101,3925.664668284005,4176.25123015084,6.3832900423553385
021680201,2188.1159060244645,2215.40013063598,1.2469277580952065
021680401,1938.008509809998,2153.67864167332,11.12844091094658
021680601,1792.363217530691,1831.80492829664,2.2005422996956625
021730101,4372.2485077303145,4390.36629099165,0.41438136989018215
021730201,4622.176220906587,4504.41525530838,-2.547738553661405
021730301,2879.575271363098,2878.21845369997,-0.04711867325093433
024080101,2535.654395854516,2375.6851146102,-6.308796715587361
024080102,1409.2405955661616,1293.88201560433,-8.185868355253156
024080103,1099.7225723169995,1119.25240829048,1.7758875251903783
024080402,2199.369188693904,1902.89278303976,-13.480065428678978
024080801,3302.752552392582,3353.44344905614,1.5348075842628983
026910103,2071.169211598444,1894.89056481085,-8.511069293635797
026910104,2259.027257259795,2303.21045597982,1.955850624556832
026910401,2702.9413404103207,2918.51286307116,7.975442139196209
026910402,2038.9931921518155,1960.47630964252,-3.8507672713921193
026910601,3618.8690204056975,3566.29699632403,-1.452719725008833
027220201,1848.830485610746,1905.19940885446,3.048896244540922
027220502,2751.1536144704355,2509.25445034991,-8.792644759936042
027220503,2889.880355617268,2809.05139912494,-2.7969654984233094
027220701,2510.828837711064,2272.28323503805,-9.500671614496758
027220801,1857.267299982125,2171.41506383623,16.91451542043132
027380101,1374.874126332707,1439.65307152207,4.711627337271396
027380102,1420.4732120849071,1510.80104729069,6.358996032963105
027380201,2425.537043769331,2251.05973390593,-7.193347564474206
