code,nom_qp,insee_com,lib_com
QP078005,Pont Du Routoir 2,78297,Guyancourt
QP078006,Merisiers-Plaine De Neauphle,78621,Trappes
QP078007,Jean Macé,78621,Trappes
QP078008,Bois De L'Etang,78644,La Verrière
QP078013,Centre-Sud,78335,Limay
QP078001,Val Fourré,78361,Mantes-la-Jolie
QP078002,Merisiers Plaisances,78362,Mantes-la-Ville
QP078003,Domaine De La Vallée,78362,Mantes-la-Ville
QP078018,Friches,78383,Maurepas
QP078021,Cinq Quartiers,78440,Les Mureaux
QP078022,Cité Renault - Centre Ville,78440,Les Mureaux
QP078017,Valibout,78490,Plaisir
QP078019,Beauregard,78498,Poissy
QP078020,Saint Exupéry,78498,Poissy
QP079005,Valette,79049,Bressuire
QP079001,Clou Bouchet,79191,Niort
QP079002,Tour Chabot Gavacherie,79191,Niort
QP079003,Pontreau Colline Saint André,79191,Niort
QP079004,Les Capucins,79329,Thouars
QP080007,Soleil Levant,80001,Abbeville
QP080008,L'Espérance,80001,Abbeville
QP080009,Les Argillières,80001,Abbeville
QP080001,Étouvie,80021,Amiens
QP080002,Pierre Rollin,80021,Amiens
QP080003,Amiens Nord,80021,Amiens
QP080004,Marcel Paul Salamandre,80021,Amiens
QP080005,Condorcet Philéas Lebesgue,80021,Amiens
QP080006,Les Parcheminiers,80021,Amiens
QP081006,Cantepau,81004,Albi
QP081007,Veyrières Rayssac,81004,Albi
QP081008,Lapanouse,81004,Albi
QP081001,La Falgalarié,81021,Aussillon
QP081002,Laden Petit Train,81065,Castres
QP081003,Lameilhé,81065,Castres
QP081004,Aillot Bisséous Lardaillé,81065,Castres
QP081005,Centre Ville,81065,Castres
QP081009,Rajol - Cérou - Gourgatieux - Bouloc - Verrerie,81060,Carmaux
QP081010,Lentajou - Catalanis,81099,Gaillac
QP081011,Crins - En Gach,81105,Graulhet
QP082003,Centre Ville,82112,Moissac
QP082004,Sarlac,82112,Moissac
QP082001,Coeur de Ville,82121,Montauban
QP082002,Médiathèque - Chambord,82121,Montauban
QP083020,Centre Ville,83023,Brignoles
QP083021,Le Carami,83023,Brignoles
QP083002,Centre Ville,83050,Draguignan
QP083003,Les Collettes,83050,Draguignan
QP083004,Centre Ville,83086,Le Muy
QP083001,L'Agachon,83061,Fréjus
QP083018,La Gabelle,83061,Fréjus
QP083005,Romain Rolland,83062,La Garde
