code_qpv,iris_controle,distance_pauvrete,niveau
QP001001,010530603,1.9784313725490676,commune
QP001001,010530602,1.9803199104498859,commune
QP001001,010530601,3.8366534634220315,commune
QP001001,010530202,12.746468534804446,commune
QP001001,010530401,18.65302938634186,commune
QP001002,010530603,6.588235294117602,commune
QP001002,010530602,10.546986577116556,commune
QP001002,010530601,12.403320130088701,commune
QP001002,010530202,21.313135201471116,commune
QP001002,010530401,27.21969605300853,commune
QP001003,740120404,3.2009839582939,unite_urbaine
QP001003,740120402,5.683568779490582,unite_urbaine
QP001003,740120101,7.141292133269356,unite_urbaine
QP001003,740120202,9.480450397390083,unite_urbaine
QP001003,740120201,9.537094042757285,unite_urbaine
QP001004,740120404,8.53234937503943,unite_urbaine
QP001004,740120402,17.416902112823912,unite_urbaine
QP001004,740120101,18.874625466602687,unite_urbaine
QP001004,740120202,21.213783730723414,unite_urbaine
QP001004,740120201,21.270427376090616,unite_urbaine
QP001005,010040102,18.415562691620725,commune
QP001005,010040101,20.596056387819573,commune
QP001005,010040201,26.284857836358434,commune
QP001005,010040202,33.91439425719588,commune
QP001006,012830104,0.26656216217617157,commune
QP001006,012830102,6.506633487973133,commune
QP001006,012830203,9.198158085881182,commune
QP001006,012830103,11.095801216438534,commune
QP001006,012830202,18.465716126155662,commune
QP001007,012830104,1.6998954955095158,unite_urbaine
QP001007,012830102,5.073300154639789,unite_urbaine
QP001007,012830203,7.764824752547838,unite_urbaine
QP001007,012830103,9.66246788310519,unite_urbaine
QP001007,012830202,17.032382792822318,unite_urbaine
QP001009,691990303,0.3048129382705227,unite_urbaine
QP001009,691990301,0.4403223681924473,unite_urbaine
QP001009,690290203,0.7792295819396386,unite_urbaine
QP001009,692860201,1.1409334823966404,unite_urbaine
QP001009,692590501,1.6374564212957878,unite_urbaine
QP002001,026910103,18.87010663375964,commune
QP002001,026910401,21.158456689961408,commune
QP002001,026910104,21.711302150617147,commune
QP002001,026910402,22.50916181436586,commune
QP002001,026910601,23.558973342535673,commune
QP002002,026910103,10.203439967092962,commune
QP002002,026910401,12.49179002329473,commune
QP002002,026910104,13.044635483950469,commune
QP002002,026910402,13.842495147699182,commune
QP002002,026910601,14.892306675868994,commune
QP002003,026910103,17.570106633759636,commune
QP002003,026910401,19.858456689961404,commune
QP002003,026910104,20.411302150617143,commune
QP002003,026910402,21.209161814365856,commune
QP002003,026910601,22.25897334253567,commune
QP002004,026910103,26.20343996709296,commune
QP002004,026910401,28.49179002329473,commune
QP002004,026910104,29.04463548395047,commune
QP002004,026910402,29.842495147699182,commune
QP002004,026910601,30.892306675868994,commune
QP002007,027380302,11.45421554133059,unite_urbaine
QP002007,027380102,22.244423136071784,unite_urbaine
QP002007,027380201,23.054548728777245,unite_urbaine
QP002007,027380101,23.964754425049318,unite_urbaine
QP002007,027380401,25.250622177061167,unite_urbaine
QP002008,027380302,16.020882207997253,commune
QP002008,027380102,26.811089802738447,commune
QP002008,027380201,27.621215395443908,commune
QP002008,027380101,28.53142109171598,commune
QP002008,027380401,29.81728884372783,commune
QP002009,021730101,21.041408102836783,commune
QP002009,021730201,33.12946093177707,commune
QP002009,021730301,38.52867912519204,commune
QP002010,024080103,0.5295439600130578,commune
QP002010,024080101,2.2957401542971354,commune
QP002010,024080102,15.223735994480812,commune
QP002010,024080801,19.363404224941096,commune
QP002010,024080402,19.56579045240127,commune
QP002011,024080102,3.857069327814145,commune
QP002011,024080101,9.070926512369532,commune
QP002011,024080103,11.896210626679725,commune
QP002011,024080801,30.730070891607763,commune
QP002011,024080402,30.932457119067937,commune
QP002012,027220201,18.557778363019548,commune
QP002012,027220801,19.729049977544662,commune
QP002012,027220502,23.728059535356174,commune
QP002012,027220701,28.05320144678928,commune
QP002012,027220503,28.15211306183469,commune
QP002013,027220201,29.557778363019548,commune
QP002013,027220801,30.729049977544662,commune
QP002013,027220502,34.728059535356174,commune
QP002013,027220701,39.05320144678928,commune
QP002013,027220503,39.15211306183469,commune
QP002014,027220201,40.391111696352894,commune
QP002014,027220801,41.562383310878005,commune
QP002014,027220502,45.561392868689516,commune
QP002014,027220701,49.88653478012262,commune
QP002014,027220503,49.98544639516803,commune
QP002015,028100202,23.727694742065545,commune
QP002015,028100102,24.010857162257075,commune
QP002015,028100302,30.091755567805823,commune
QP002016,021680101,17.95366963889544,commune
QP002016,021680401,25.914552662115703,commune
QP002016,021680201,27.555251502086627,commune
QP002016,021680601,,commune
QP002017,021680101,22.7203363055621,commune
QP002017,021680401,30.681219328782362,commune
QP002017,021680201,32.321918168753285,commune
QP002017,021680601,,commune
QP003001,030950103,11.488999474608626,commune
QP003001,030950101,14.967703710714183,commune
QP003001,030950102,20.044383690343547,commune
QP003001,030950111,25.936022416505942,commune
QP003001,030950105,27.615634565575697,commune
QP003002,033100102,15.188827167467554,commune
QP003002,033100103,15.686539155148008,commune
QP003002,033100101,17.32753659598592,commune
QP003002,033100105,20.504495279611227,commune
QP003002,033100110,25.692848620739717,commune
QP003003,031900108,5.359409925889707,commune
QP003003,031900104,13.707384099768841,commune
QP003003,031900101,18.799971831666372,commune
QP003003,031900103,24.106915908835763,commune
QP003003,031900102,25.338610655655707,commune
QP003004,031850115,6.908115093857816,commune
QP003004,031850106,9.57053384607293,commune
QP003004,031850105,10.94305885749419,commune
QP003004,031850117,14.811361220552584,commune
QP003004,031850101,20.869675154172022,commune
QP003005,031850115,10.241448427191145,commune
QP003005,031850106,12.903867179406259,commune
QP003005,031850105,14.276392190827519,commune
QP003005,031850117,18.144694553885913,commune
QP003005,031850101,24.20300848750535,commune
QP003006,031850115,24.041448427191142,unite_urbaine
QP003006,031850106,26.703867179406256,unite_urbaine
QP003006,031850105,28.076392190827516,unite_urbaine
QP003006,031850117,31.94469455388591,unite_urbaine
QP003006,031850101,38.00300848750535,unite_urbaine
QP004001,040700102,15.320042778348565,commune
QP004001,040700108,23.700264844613564,commune
QP004001,040700104,26.45789202153113,commune
QP004001,040700105,27.69379190910815,commune
QP004001,040700103,28.65954749304842,commune
QP004002,041120107,0.0017519986981326952,commune
QP004002,041120101,0.47728237137665275,commune
QP004002,041120103,11.390764315270069,commune
QP004002,041120102,13.385292615317539,commune
QP004002,041120106,21.999156552565523,commune
QP004003,041120107,9.001751998698133,commune
QP004003,041120101,9.477282371376653,commune
QP004003,041120103,20.39076431527007,commune
QP004003,041120102,22.38529261531754,commune
QP004003,041120106,30.999156552565523,commune
QP005001,050610101,8.151213715278523,commune
QP005001,050610106,8.963675248438573,commune
QP005001,050610115,9.758289258151624,commune
QP005001,050610108,15.58861269791469,commune
QP005001,050610111,16.093980420641234,commune
QP006001,060880902,0.08365738555446,commune
QP006001,060883301,0.42474959658976275,commune
QP006001,060881803,1.1960691879146594,commune
QP006001,060880508,1.6687640803947872,commune
QP006001,060882601,1.9337454016805466,commune
QP006002,061550102,1.3341465426630705,commune
QP006002,061550103,6.2453164748329755,commune
QP006002,061550104,18.61403584554265,commune
QP006002,061550105,20.579650893827317,commune
QP006002,061550109,23.74783593745233,commune
