variable,reduction_moyenne_%,reduction_2015_%,reduction_2016_%,reduction_2018_%,reduction_2021_%,pct_valeurs_manquantes_qpv,n_interactions_significatives_sur_6
tx_tot_men1,5.66651632634519,1.4936905317764213,5.863324552762294,7.846679423695193,7.462370797146849,0.656934306569343,5
tx_f,4.5803484912473325,2.519689733160787,4.428757798498636,5.579936260219884,5.793010173110024,0.024330900243309004,6
l_nbpers,4.267805411938648,0.16485233169899335,4.482488664479907,6.656903808249861,5.76697684332583,0.291970802919708,5
tx_tot_men6,3.36598200773072,2.436862217792574,3.2199390173413596,4.155868752697564,3.6512580430913815,49.12408759124088,2
tx_tot_et,2.951748467028602,-0.6462550829761186,2.3301490448330053,5.454670900585342,4.668429005672178,8.540145985401459,1
tx_tot_diplbac2,2.4037554003930532,0.8582739651614778,2.1252466311070766,2.589167518786228,4.042333486517431,8.929440389294403,1
tx_tot_men1_60a74,2.257030377238691,-1.1530888587392725,1.373341797418691,4.872042906400879,3.9358256638744655,23.065693430656932,1
tx_tot_eprec,2.099875327790768,-0.4363671053377507,1.7138016506589113,3.1005739619328616,4.021492803909048,4.40389294403893,4
tx_nblog_20l,1.770618191397565,2.584091359562658,1.403743717055223,1.1459384224412223,1.9486992665311564,5.109489051094891,1
ind_jeune,1.2893557214426876,-3.2098664790682045,0.6794596645417326,4.340861793687925,3.346967906609298,17.128953771289538,1
tx_tot_infbac,1.1348380511848735,-0.6937599080741663,0.7302348351084376,1.743277970966815,2.7595993067384077,1.8734793187347931,1
tx_tot_75etplus,1.1347231401890292,-5.0731171878853605,0.08071939020390595,5.737859938516719,3.7934304199208526,16.666666666666664,2
tx_tot_25a59,0.9256202298213302,-1.0465637155328151,0.385508105487832,2.0410506756960896,2.3224858536342143,0.024330900243309004,0
tx_l_2piec,0.8630090432561242,0.3885692342938907,0.640696100198074,1.079099512131092,1.3436713264014397,15.133819951338198,0
tx_tot_men1_75etplus,0.5537440316974419,-2.3896994846625668,0.41436862987447665,2.963914091270075,1.2263928903077828,33.11435523114355,0
tx_tot_scol,0.4429681482237666,-1.7722481272778585,0.8240223759273558,1.5146460365189234,1.2054523077266457,10.535279805352799,0
tx_tot_empl,0.3235204954800657,-4.0731576017229845,-0.22276080460409314,3.32117330813526,2.26882708011208,0.024330900243309004,1
tx_tot_diplbac,0.16283264887327703,-1.5314808029084308,-0.15975747115709374,0.8934632308780477,1.449105638680585,2.1411192214111923,0
tx_l_5piec,0.12332010841992103,0.13076840751251242,0.1575321173809716,0.08274966042257839,0.12223024836362172,22.214111922141118,0
tx_tot_0a14,-0.624874133337653,-3.468455701402461,-0.853857036926755,1.0885117332608898,0.7343044717177141,0.17031630170316303,0
tx_tot_15a24,-1.1544033626882353,-1.1964006828170801,-1.1578128416828979,-0.7679107267236978,-1.4954891995292656,0.4622871046228711,0
tx_tot_60a74,-1.407748024402711,-3.9696459642158475,-2.102725220928576,0.14276115827781816,0.2986179292557605,2.9197080291970803,1
tx_l_vacant,-2.5580337960963733,-4.494511944155696,-2.351098918258263,-1.3587377178756161,-2.0277866040959167,48.223844282238446,2
tx_tot_fam_mono,-3.5851826809920815,-3.371920590450752,-3.655040146174339,-3.593406398598406,-3.72036358874483,4.64720194647202,5
