annee,revenu_median_qpv,taux_pauvrete_qpv,revenu_median_controle,taux_pauvrete_controle
2012,12970.370578778135,41.655225080385854,16671.118981874148,26.68036074379598
2013,13170.776083467095,42.01605136436597,16956.577842847397,27.028114056353655
2014,13243.06757843926,42.47254428341385,17074.938268733127,27.25105544599123
2016,13410.67415730337,43.38377510040161,17329.478054774023,27.698251221587334
2017,13668.92455858748,42.749677938808375,17576.314655172413,27.35043754972156
2018,13941.926163723916,44.07727639000806,18004.465183058146,28.03053465346535
2019,14193.788121990368,43.06996779388084,18241.23607617679,27.56369000786782
2021,14718.908163265307,45.079693877551016,19146.97451052826,27.751293422025128
