code,revenu_median,taux_pauvrete,part_monoparental,part_locataires,annee,gini,s80s20
QP089007,13581.0,38.1,23.4,,2013,0.2,2.9
QP090001,14055.0,35.8,18.8,,2013,0.2,3.2
QP090002,11430.0,58.6,12.0,,2013,0.2,2.8
QP090003,13721.0,37.5,15.5,90.0,2013,0.2,3.4
QP090004,12757.0,44.8,14.6,79.1,2013,0.2,3.5
QP090005,13062.0,43.7,,,2013,0.2,3.3
QP091001,16500.0,25.3,22.4,,2013,0.2,3.6
QP091002,11694.0,52.9,16.2,90.3,2013,0.2,3.5
QP091003,14302.0,35.3,18.2,78.9,2013,0.2,3.7
QP091004,13746.0,37.1,19.6,,2013,0.2,2.9
QP091005,14698.0,35.1,,79.0,2013,0.3,4.7
QP091006,14191.0,34.9,19.6,,2013,0.2,3.2
QP091007,14345.0,31.0,24.4,,2013,0.2,3.3
QP091008,13889.0,35.7,22.9,,2013,0.2,3.0
QP091009,14502.0,28.7,21.5,,2013,0.2,3.0
QP091010,14395.0,36.1,18.7,,2013,0.2,3.3
QP091011,13367.0,40.5,23.3,,2013,0.2,3.1
QP091012,14803.0,31.0,22.7,88.5,2013,0.2,3.0
QP091013,14283.0,31.4,24.5,,2013,0.2,2.8
QP091014,15016.0,29.9,21.5,,2013,0.2,3.2
QP091015,14550.0,34.3,21.1,,2013,0.2,3.0
QP091016,14284.0,35.3,24.1,86.9,2013,0.2,3.2
QP091017,14191.0,35.9,16.8,75.4,2013,0.2,3.6
QP091018,14596.0,30.3,20.5,82.1,2013,0.2,3.1
QP091019,14424.0,32.3,18.7,79.1,2013,0.2,3.2
QP091020,14299.0,36.2,,28.6,2013,0.3,4.1
QP091021,14459.0,32.4,22.0,,2013,0.2,3.0
QP091022,15364.0,30.6,15.2,,2013,0.2,3.3
QP091023,15236.0,30.3,19.8,90.3,2013,0.2,3.2
QP091024,14858.0,31.9,16.1,63.9,2013,0.3,5.4
QP091025,14776.0,30.8,15.7,70.1,2013,0.2,3.3
QP091026,13537.0,39.8,20.2,89.2,2013,0.2,3.3
QP091027,11631.0,53.4,16.0,48.1,2013,0.3,4.4
QP091028,15125.0,27.7,18.5,92.2,2013,0.2,3.1
QP091029,14936.0,26.0,20.5,,2013,0.2,2.9
QP091030,14339.0,36.9,18.0,63.3,2013,0.3,3.8
QP091031,14102.0,33.1,24.2,,2013,0.2,3.1
QP091032,14233.0,31.2,26.3,,2013,0.2,2.8
QP091033,14755.0,32.0,19.3,93.0,2013,0.2,3.4
QP091034,14224.0,34.6,22.6,85.4,2013,0.2,3.3
QP091035,10513.0,54.5,,76.7,2013,0.4,7.5
QP091036,14467.0,33.7,19.0,,2013,0.2,3.2
QP091037,13229.0,39.3,20.1,85.1,2013,0.2,3.0
QP091038,12761.0,43.3,21.4,,2013,0.2,2.9
QP091039,15085.0,29.2,19.7,,2013,0.2,3.5
QP092001,14712.0,32.6,17.5,89.4,2013,0.3,4.0
QP092002,14696.0,34.5,20.8,,2013,0.2,3.3
QP092003,14949.0,28.8,18.0,,2013,0.2,3.1
QP092004,14404.0,30.6,21.3,,2013,0.2,3.1
QP092005,14845.0,30.7,20.6,,2013,0.2,3.2
QP092006,14224.0,34.7,14.8,,2013,0.2,3.4
QP092007,14300.0,34.4,19.7,,2013,0.2,3.4
QP092008,13849.0,37.7,17.5,,2013,0.2,3.5
QP092009,15228.0,27.6,15.0,,2013,0.2,3.4
QP092010,14881.0,29.4,17.6,95.0,2013,0.2,3.2
QP092011,14884.0,31.6,16.5,92.6,2013,0.2,3.6
QP092012,14706.0,29.2,18.2,,2013,0.2,3.0
QP092013,15189.0,30.0,14.6,90.1,2013,0.2,3.5
QP092014,11606.0,52.7,8.3,74.9,2013,0.4,7.5
QP092015,13968.0,36.9,17.2,92.1,2013,0.3,3.9
QP092016,14055.0,36.5,17.6,95.0,2013,0.2,3.4
QP092017,15047.0,34.3,11.4,81.6,2013,0.3,4.3
QP092018,14599.0,33.0,16.7,,2013,0.2,3.7
QP092019,14978.0,28.9,18.0,85.0,2013,0.2,3.1
QP092020,14985.0,31.5,17.9,,2013,0.2,3.5
QP092021,13470.0,41.1,19.7,,2013,0.2,3.2
QP093001,13898.0,37.8,15.1,77.7,2013,0.3,4.6
QP093002,14918.0,29.9,18.3,,2013,0.2,3.3
QP093003,11959.0,51.3,16.3,76.6,2013,0.2,3.3
QP093004,13743.0,37.6,15.3,82.9,2013,0.2,3.5
QP093005,14775.0,31.9,14.6,95.0,2013,0.2,3.7
QP093006,13148.0,43.8,,51.2,2013,0.3,4.5
QP093007,13507.0,39.9,22.1,,2013,0.2,3.4
QP093008,11778.0,51.9,12.7,,2013,0.3,5.8
QP093009,13979.0,37.3,16.3,84.5,2013,0.3,4.1
QP093010,13800.0,37.2,17.5,94.0,2013,0.2,3.2
QP093011,13449.0,39.4,17.3,84.9,2013,0.2,3.6
QP093012,12877.0,46.1,17.9,85.6,2013,0.3,4.2
QP093013,14386.0,36.5,21.5,,2013,0.2,3.0
QP093014,13606.0,39.6,18.7,83.2,2013,0.2,3.6
QP093015,13538.0,41.2,19.1,84.7,2013,0.3,4.4
QP093016,13870.0,36.1,20.6,,2013,0.2,3.5
QP093017,15226.0,34.1,18.1,79.1,2013,0.3,3.7
QP093018,12960.0,45.1,18.2,91.4,2013,0.3,4.9
QP093019,15172.0,32.6,19.6,90.5,2013,0.3,4.0
QP093020,14954.0,32.0,19.9,81.0,2013,0.2,3.4
QP093021,13072.0,40.9,19.5,95.0,2013,0.2,3.4
QP093022,13505.0,41.0,21.7,,2013,0.2,3.5
QP093023,14989.0,36.8,14.9,73.8,2013,0.3,5.4
QP093024,12227.0,49.0,12.4,81.8,2013,0.3,5.7
QP093025,13226.0,41.3,21.4,,2013,0.2,3.4
QP093026,13839.0,38.5,17.4,,2013,0.3,3.8
QP093027,15002.0,32.6,18.5,,2013,0.2,3.2
QP093028,13161.0,42.7,14.7,77.8,2013,0.3,4.2
QP093029,14002.0,36.7,17.8,72.3,2013,0.2,3.5
QP093030,13676.0,39.5,17.8,90.4,2013,0.2,3.6
QP093031,14385.0,34.2,16.7,77.5,2013,0.2,3.5
QP093032,15081.0,30.4,18.5,,2013,0.2,3.1
QP093033,14842.0,30.1,18.4,84.3,2013,0.3,3.9
QP093034,12481.0,47.6,21.6,,2013,0.2,3.6
QP093035,13006.0,43.9,16.5,79.4,2013,0.3,4.0
QP093036,11803.0,52.7,19.0,81.7,2013,0.3,3.9
QP093037,13496.0,43.3,12.7,80.3,2013,0.3,6.6
QP093038,15460.0,32.3,15.4,73.8,2013,0.3,4.3
QP093039,14557.0,36.6,15.4,76.0,2013,0.3,4.7
QP093040,12536.0,47.2,20.7,,2013,0.2,3.6
QP093041,12546.0,47.4,14.0,74.7,2013,0.3,6.2
QP093042,13590.0,40.0,17.0,80.9,2013,0.3,3.9
QP093043,13386.0,42.5,14.9,77.4,2013,0.3,4.6
QP093044,14511.0,37.7,18.3,90.2,2013,0.3,4.4
QP093045,15169.0,34.2,15.5,80.8,2013,0.3,5.0
QP093046,14236.0,36.7,20.9,,2013,0.2,3.5
QP093047,15081.0,36.8,14.9,82.4,2013,0.3,5.0
QP093048,13258.0,41.4,20.5,90.5,2013,0.2,3.5
QP093049,14099.0,35.5,16.8,86.0,2013,0.2,3.3
QP093050,13647.0,37.2,18.3,78.8,2013,0.2,3.2
QP093051,13624.0,37.6,19.7,82.3,2013,0.2,3.2
QP093052,14255.0,34.2,20.5,74.4,2013,0.2,3.2
QP093053,14046.0,36.3,19.7,92.7,2013,0.2,3.4
QP093054,13457.0,38.9,18.6,86.9,2013,0.2,3.3
QP093055,13387.0,40.9,17.9,82.5,2013,0.3,3.8
QP093056,14708.0,30.1,20.9,85.6,2013,0.2,3.1
QP093057,14293.0,32.4,21.3,,2013,0.2,2.8
QP093058,14279.0,33.1,23.6,,2013,0.2,3.1
QP093059,13841.0,37.5,16.4,75.3,2013,0.3,4.2
QP093060,14730.0,32.7,16.2,70.5,2013,0.2,3.5
QP093061,15088.0,29.5,21.7,84.3,2013,0.2,3.3
QP093062,13774.0,38.7,21.9,89.7,2013,0.3,4.0
QP093063,14786.0,29.4,17.0,81.4,2013,0.2,3.4
QP094001,14295.0,37.5,22.8,,2013,0.2,3.3
QP094002,15339.0,30.8,18.1,,2013,0.3,4.2
QP094003,14823.0,29.2,21.4,82.4,2013,0.2,3.4
QP094004,13149.0,40.9,14.8,,2013,0.2,3.6
QP094005,14127.0,34.8,21.7,,2013,0.2,3.4
QP094006,15679.0,26.3,,71.3,2013,0.3,4.0
QP094007,15583.0,30.7,,,2013,0.2,3.4
QP094008,14355.0,36.5,16.4,81.0,2013,0.3,3.8
QP094009,12623.0,46.7,12.4,84.0,2013,0.3,6.6
QP094010,14711.0,36.6,14.5,83.6,2013,0.3,4.8
QP094011,14874.0,30.6,22.8,,2013,0.2,2.9
QP094012,14240.0,34.9,18.7,,2013,0.2,3.3
QP094013,14452.0,33.3,16.9,85.5,2013,0.2,3.4
QP094014,14723.0,32.2,17.8,,2013,0.2,3.5
QP094015,13961.0,37.3,21.7,,2013,0.2,3.3
QP094016,16489.0,26.3,16.9,85.9,2013,0.3,4.1
QP094017,14686.0,28.5,20.0,,2013,0.2,2.9
QP094018,15068.0,33.3,18.6,,2013,0.3,4.6
QP094019,13521.0,39.3,17.8,,2013,0.3,3.7
QP094020,14511.0,34.2,,,2013,0.2,3.1
QP094021,14220.0,36.1,22.6,,2013,0.2,3.3
QP094022,14608.0,32.8,20.9,,2013,0.2,3.4
QP094023,14160.0,36.4,21.1,,2013,0.3,3.8
QP094024,14372.0,36.0,18.8,,2013,0.2,3.6
QP094025,9090.0,70.4,,70.7,2013,0.4,7.8
QP094026,14091.0,35.7,21.3,,2013,0.2,2.9
QP094027,13739.0,37.4,18.0,95.0,2013,0.2,3.2
QP094028,14271.0,36.2,17.8,86.5,2013,0.3,4.1
QP094029,14517.0,34.3,18.1,,2013,0.2,3.4
QP094030,14609.0,34.7,19.7,,2013,0.3,3.9
QP094031,14868.0,29.6,16.8,83.2,2013,0.2,3.0
QP094032,13623.0,37.0,18.4,,2013,0.2,2.8
QP094033,15457.0,31.8,19.1,,2013,0.2,3.8
QP094034,14626.0,32.4,18.3,,2013,0.2,3.1
QP094035,14300.0,35.1,21.1,88.5,2013,0.2,3.4
QP094036,14344.0,34.0,19.5,,2013,0.2,3.6
QP094037,12807.0,46.3,14.7,69.0,2013,0.3,5.6
QP094038,14234.0,35.1,19.0,87.1,2013,0.2,3.6
QP094039,14426.0,37.4,21.6,,2013,0.2,3.4
QP094040,14059.0,39.2,16.0,78.1,2013,0.3,4.6
QP094041,13482.0,40.4,17.9,85.2,2013,0.3,3.8
QP094042,15573.0,27.2,20.8,,2013,0.2,3.1
QP095001,15403.0,28.4,22.9,,2013,0.2,2.8
QP095002,10313.0,64.9,,,2013,0.3,4.7
QP095003,15283.0,28.6,16.2,76.5,2013,0.2,3.2
QP095004,13305.0,40.8,12.0,81.9,2013,0.3,4.0
QP095005,13676.0,38.1,18.1,83.5,2013,0.2,3.4
QP095006,14780.0,32.8,15.5,70.6,2013,0.2,3.5
QP095007,14569.0,33.8,20.8,,2013,0.2,3.0
QP095008,13750.0,36.7,17.9,93.5,2013,0.2,3.2
QP095009,14634.0,32.6,14.8,86.2,2013,0.3,3.7
QP095010,13548.0,36.2,21.8,,2013,0.2,3.2
QP095011,13993.0,35.5,21.9,93.8,2013,0.2,3.1
QP095012,15338.0,26.7,20.9,,2013,0.2,2.9
QP095013,14025.0,37.1,21.9,,2013,0.2,3.2
QP095014,13637.0,38.2,22.9,,2013,0.2,2.8
QP095015,13702.0,38.7,18.0,79.0,2013,0.2,3.2
QP095016,14489.0,30.5,21.1,,2013,0.2,2.9
QP095017,12391.0,47.8,19.7,,2013,0.3,4.9
QP095018,13984.0,33.3,,,2013,0.2,2.9
QP095019,15072.0,28.9,24.9,,2013,0.2,3.0
QP095020,13681.0,37.8,,55.5,2013,0.2,3.6
QP095021,16005.0,27.4,19.8,64.2,2013,0.2,3.5
QP095022,13517.0,43.8,14.8,,2013,0.3,5.7
QP095023,15194.0,29.1,24.3,,2013,0.2,2.9
QP095024,13811.0,35.8,,,2013,0.2,3.2
QP095025,14436.0,33.1,19.2,93.0,2013,0.2,2.9
QP095026,15215.0,27.0,24.4,,2013,0.2,2.8
QP095027,14473.0,32.0,16.5,86.0,2013,0.2,3.8
QP095028,13179.0,40.0,24.5,,2013,0.2,2.8
QP095029,15000.0,29.1,25.3,,2013,0.2,2.9
QP095030,14610.0,35.4,15.9,61.6,2013,0.3,4.9
QP095031,13707.0,37.6,19.4,90.8,2013,0.2,3.1
QP095032,12636.0,46.4,16.0,76.8,2013,0.2,3.7
QP095033,13756.0,38.5,16.5,78.5,2013,0.3,3.6
QP095034,14315.0,34.6,16.8,72.8,2013,0.2,3.5
QP095035,14106.0,32.7,,,2013,0.2,2.8
QP095036,14268.0,33.7,20.2,87.1,2013,0.2,3.2
QP095037,13968.0,38.2,15.2,44.0,2013,0.3,4.5
QP095038,13425.0,41.0,16.5,70.7,2013,0.3,3.7
QP095039,14216.0,31.8,20.6,,2013,0.2,3.0
QP095040,13695.0,37.8,18.9,,2013,0.2,3.0
QP095041,15621.0,26.2,17.7,81.0,2013,0.2,3.3
QP001001,13637.0,38.8,13.4,86.1,2014,0.2,3.2
QP001002,12670.0,47.3,13.1,,2014,0.2,2.9
QP001003,15318.0,27.1,14.8,81.7,2014,0.3,5.8
QP001004,13414.0,42.8,22.8,,2014,0.3,5.2
QP001005,13245.0,41.9,21.7,,2014,0.2,3.0
QP001006,13221.0,39.9,15.4,,2014,0.2,2.7
QP001007,13118.0,38.9,,,2014,0.2,2.8
QP001008,11820.0,56.6,,,2014,0.2,2.8
QP001009,13693.0,36.3,,,2014,0.2,3.0
QP002001,12521.0,47.6,18.2,84.7,2014,0.3,3.5
QP002002,13709.0,40.3,15.6,74.4,2014,0.3,3.6
QP002003,12794.0,46.7,23.7,,2014,0.2,3.0
QP002004,11836.0,52.8,17.8,84.6,2014,0.2,3.1
QP002005,12305.0,49.1,21.4,73.5,2014,0.3,3.6
