code,revenu_median,taux_pauvrete,part_monoparental,part_locataires,annee,gini,s80s20
QP013024,13158.0,42.6,21.9,84.0,2014,0.2,3.4
QP013025,14470.0,33.6,17.8,89.7,2014,0.2,3.0
QP013026,13311.0,42.3,,70.1,2014,0.3,4.1
QP013027,13078.0,44.6,,60.9,2014,0.3,3.9
QP013028,13312.0,39.7,,81.1,2014,0.2,3.0
QP013029,11944.0,53.3,23.1,,2014,0.2,2.8
QP013030,13874.0,38.5,19.2,79.9,2014,0.2,3.3
QP013031,13433.0,41.4,17.7,74.4,2014,0.3,3.8
QP013032,12034.0,51.2,16.1,76.5,2014,0.3,4.8
QP013033,13836.0,39.9,21.2,71.1,2014,0.2,3.4
QP013034,13434.0,41.7,21.5,75.2,2014,0.3,3.8
QP013035,12340.0,48.9,22.8,50.9,2014,0.2,3.5
QP013036,12036.0,50.9,27.6,72.4,2014,0.2,3.1
QP013037,12703.0,46.1,26.3,,2014,0.2,3.0
QP013038,12579.0,46.8,21.5,74.4,2014,0.2,3.4
QP013039,12315.0,49.4,23.8,,2014,0.2,3.0
QP013040,12218.0,50.1,28.0,,2014,0.2,2.9
QP013041,13922.0,35.0,27.0,,2014,0.2,2.8
QP013042,11219.0,58.2,23.1,89.2,2014,0.2,3.3
QP013043,13085.0,42.9,27.2,,2014,0.2,3.2
QP013044,11933.0,53.1,26.4,95.0,2014,0.2,3.1
QP013045,12666.0,45.2,27.8,,2014,0.2,3.1
QP013046,12045.0,51.4,27.9,,2014,0.2,3.3
QP013047,13442.0,41.9,23.1,,2014,0.2,3.5
QP013048,13137.0,43.3,16.7,56.2,2014,0.3,3.7
QP013049,11550.0,55.2,23.9,89.0,2014,0.2,3.5
QP013050,12062.0,51.4,24.1,,2014,0.2,2.9
QP013051,11679.0,54.4,24.0,93.2,2014,0.2,3.6
QP013052,12208.0,50.2,23.2,88.6,2014,0.3,3.7
QP013053,11951.0,51.5,19.7,75.3,2014,0.3,4.6
QP013054,11108.0,59.0,32.2,,2014,0.2,2.9
QP013055,10844.0,61.0,25.2,84.9,2014,0.3,4.1
QP013056,11002.0,59.5,25.8,,2014,0.2,3.0
QP013057,11917.0,52.1,18.0,48.1,2014,0.3,4.7
QP013058,11754.0,53.4,16.8,78.3,2014,0.3,4.7
QP013059,13396.0,39.2,15.0,55.0,2014,0.2,3.3
QP013060,13804.0,38.6,21.7,64.3,2014,0.3,4.0
QP013061,13752.0,35.2,25.6,91.9,2014,0.2,3.0
QP013062,14399.0,32.8,23.8,,2014,0.2,2.8
QP013063,12933.0,43.5,13.5,87.3,2014,0.2,3.1
QP013064,14200.0,35.6,27.7,,2014,0.2,3.0
QP013065,14041.0,36.7,27.2,,2014,0.2,2.9
QP014001,13052.0,43.9,24.3,,2014,0.2,2.8
QP014002,12534.0,46.8,22.1,,2014,0.2,3.1
QP014003,11950.0,51.9,21.1,,2014,0.2,2.9
QP014004,12349.0,49.1,21.4,,2014,0.2,3.1
QP014005,13141.0,41.9,18.1,,2014,0.2,3.1
QP014006,14059.0,32.4,20.6,,2014,0.2,2.5
QP014007,13977.0,36.8,20.1,83.7,2014,0.2,3.0
QP014008,12609.0,45.6,27.9,,2014,0.2,2.9
QP014009,12714.0,46.8,25.7,,2014,0.2,2.9
QP015001,13079.0,43.0,14.9,75.6,2014,0.3,3.8
QP016001,11783.0,53.1,19.0,84.1,2014,0.2,3.5
QP016002,12640.0,46.8,21.0,,2014,0.2,3.0
QP016003,12493.0,47.9,22.5,90.9,2014,0.2,3.5
QP016004,13239.0,41.3,23.1,,2014,0.2,2.9
QP016005,11910.0,53.3,19.3,,2014,0.2,2.9
QP016006,12082.0,51.1,24.1,,2014,0.2,3.1
QP017001,13241.0,40.6,23.8,94.1,2014,0.2,2.8
QP017002,12792.0,45.5,24.0,,2014,0.2,3.0
QP017003,11927.0,53.3,26.5,,2014,0.2,3.0
QP017004,13956.0,35.5,15.2,84.0,2014,0.3,3.7
QP017005,12193.0,50.1,27.7,,2014,0.3,3.7
QP017006,14157.0,34.6,15.8,69.5,2014,0.2,3.5
QP017007,13779.0,36.1,21.1,,2014,0.2,2.6
QP018001,12466.0,48.3,19.5,89.1,2014,0.2,3.1
QP018002,12775.0,45.8,29.2,,2014,0.2,3.0
QP018003,13636.0,41.1,18.5,,2014,0.2,3.0
QP018004,12205.0,50.1,17.0,84.4,2014,0.3,4.2
QP019001,13252.0,39.8,18.7,,2014,0.2,3.0
QP019002,12839.0,43.5,15.6,79.8,2014,0.2,3.0
QP019003,13443.0,39.4,16.6,,2014,0.2,3.1
QP021001,13745.0,34.6,22.8,,2014,0.2,2.8
QP021002,13581.0,38.1,14.9,79.9,2014,0.2,3.0
QP021003,13788.0,38.4,18.6,76.4,2014,0.2,3.2
QP021004,12951.0,44.6,12.2,,2014,0.2,3.2
QP021005,13558.0,40.0,17.1,,2014,0.2,2.8
QP021006,13907.0,37.6,20.6,,2014,0.2,3.1
QP022001,13347.0,39.3,25.0,,2014,0.2,2.6
QP022002,13116.0,42.1,,,2014,0.2,3.3
QP022003,12966.0,46.1,24.3,,2014,0.2,3.1
QP022004,13080.0,41.1,23.7,,2014,0.2,3.0
QP022005,12404.0,48.6,19.8,84.6,2014,0.2,3.2
QP022006,13439.0,39.3,19.5,,2014,0.2,3.1
QP022007,12693.0,45.9,27.6,,2014,0.2,2.9
QP023001,13207.0,42.5,19.1,,2014,0.2,3.4
QP024001,13681.0,37.4,19.3,71.9,2014,0.2,3.3
QP024002,13778.0,37.9,16.9,84.1,2014,0.3,4.0
QP024003,13848.0,37.8,21.7,79.0,2014,0.2,2.9
QP024004,11765.0,53.4,21.4,,2014,0.3,3.8
QP024005,13190.0,44.0,22.2,79.3,2014,0.2,3.6
QP025001,15335.0,30.8,,,2014,0.3,3.6
QP025002,10320.0,67.9,,,2014,0.2,3.5
QP025003,12686.0,46.6,16.6,,2014,0.2,3.1
QP025004,12327.0,49.2,18.9,89.6,2014,0.2,3.4
QP025005,13353.0,41.1,21.6,,2014,0.2,3.5
QP025006,13124.0,41.4,18.0,,2014,0.2,3.5
QP025007,12495.0,48.3,,84.3,2014,0.2,2.8
QP025008,13001.0,43.3,12.4,83.1,2014,0.2,2.8
QP025009,12536.0,48.0,,,2014,0.2,2.7
QP025010,12601.0,45.6,17.7,,2014,0.2,2.8
QP025011,13070.0,42.9,14.6,71.9,2014,0.2,3.3
QP025012,13819.0,37.2,15.6,,2014,0.2,2.8
QP025013,12945.0,43.1,,72.3,2014,0.2,2.9
QP026001,13906.0,39.7,17.5,75.8,2014,0.3,3.9
QP026002,11785.0,55.2,15.6,,2014,0.2,2.9
QP026003,13158.0,42.1,22.6,73.0,2014,0.2,3.1
QP026004,13582.0,40.8,13.3,80.2,2014,0.3,4.6
QP026005,11418.0,57.1,14.2,,2014,0.2,3.1
QP026006,11994.0,52.5,20.8,,2014,0.2,3.1
QP026007,12535.0,47.5,15.5,79.7,2014,0.2,3.0
QP026008,13348.0,40.9,17.4,,2014,0.2,3.0
QP026009,13115.0,41.9,23.5,,2014,0.2,3.0
QP026010,12965.0,42.4,18.8,82.4,2014,0.2,3.1
QP026011,13768.0,36.5,12.7,72.8,2014,0.2,3.2
QP026012,11609.0,54.8,,,2014,0.3,4.0
QP027001,12804.0,45.4,20.3,,2014,0.2,3.0
QP027002,12002.0,52.6,,,2014,0.2,3.1
QP027003,11633.0,55.8,23.5,95.0,2014,0.2,3.1
QP027004,11501.0,55.8,26.4,,2014,0.2,3.2
QP027005,13016.0,42.4,24.5,,2014,0.2,3.3
QP027006,12894.0,43.8,21.8,,2014,0.2,3.3
QP027007,12689.0,46.2,25.7,,2014,0.2,3.2
QP027008,12739.0,45.7,23.2,89.9,2014,0.2,3.2
QP027009,13854.0,36.9,21.7,,2014,0.2,3.3
QP027010,13342.0,39.0,25.4,,2014,0.2,2.6
QP027011,13956.0,36.5,25.3,,2014,0.2,2.9
QP028001,13284.0,42.5,20.3,,2014,0.2,3.1
QP028002,13017.0,44.1,19.3,,2014,0.2,3.0
QP028003,12671.0,45.0,23.6,,2014,0.2,2.9
QP028004,13715.0,36.3,20.6,,2014,0.2,2.7
QP028005,11723.0,53.9,22.4,,2014,0.2,3.0
QP028006,12502.0,47.6,19.8,,2014,0.2,3.0
QP028007,13415.0,37.6,,77.7,2014,0.2,3.0
QP028008,11664.0,55.0,17.5,93.3,2014,0.2,3.0
QP028009,12213.0,50.1,15.7,90.1,2014,0.2,3.2
QP028010,12202.0,50.2,17.4,,2014,0.2,2.8
QP029001,12464.0,48.0,23.9,,2014,0.2,2.8
QP029002,13610.0,39.1,17.5,70.1,2014,0.2,3.1
QP029003,12752.0,45.0,22.5,,2014,0.2,2.7
QP029004,14129.0,34.9,19.4,80.2,2014,0.2,3.0
QP029005,13063.0,41.2,19.4,,2014,0.2,2.7
QP029006,12529.0,45.8,25.6,,2014,0.2,3.0
QP029007,12867.0,43.2,19.4,,2014,0.2,2.8
QP029008,13603.0,37.2,14.7,,2014,0.2,3.3
QP029009,12647.0,46.1,19.0,,2014,0.2,3.2
QP02A001,13406.0,39.1,,,2014,0.2,2.9
QP02A002,15030.0,28.5,24.9,,2014,0.2,2.9
QP02A003,14304.0,32.4,,59.9,2014,0.2,3.0
QP02B001,13827.0,35.4,22.7,,2014,0.2,3.2
QP02B002,14441.0,38.4,13.0,57.8,2014,0.4,6.8
QP030001,12693.0,46.3,18.5,85.2,2014,0.3,3.6
QP030002,13217.0,40.8,15.1,76.2,2014,0.3,3.9
QP030003,10365.0,68.2,18.4,85.6,2014,0.2,3.1
QP030004,12966.0,44.5,16.3,81.1,2014,0.3,4.6
QP030005,11035.0,59.9,17.9,90.3,2014,0.2,3.3
QP030006,11490.0,56.1,18.2,91.6,2014,0.2,3.3
QP030007,13930.0,37.3,21.7,80.1,2014,0.2,3.1
QP030008,12302.0,49.3,20.5,67.1,2014,0.2,3.4
QP030009,11508.0,55.6,12.3,74.9,2014,0.3,3.7
QP030010,11965.0,51.9,15.7,93.1,2014,0.2,3.1
QP030011,13060.0,43.7,14.8,65.2,2014,0.3,4.6
QP030012,12689.0,45.9,15.7,,2014,0.2,2.9
QP030013,12586.0,47.4,13.3,70.6,2014,0.3,3.8
QP030014,12850.0,44.9,,70.3,2014,0.3,3.6
QP030015,12104.0,51.6,19.7,,2014,0.2,2.9
QP030016,12743.0,46.1,15.0,74.4,2014,0.2,3.4
QP030017,11612.0,52.9,,62.0,2014,0.3,3.7
QP030018,13601.0,38.3,19.2,71.6,2014,0.3,3.7
QP031001,13633.0,37.8,24.2,88.9,2014,0.2,2.8
QP031002,14915.0,32.4,21.0,81.9,2014,0.3,4.1
QP031003,14192.0,35.3,12.9,80.3,2014,0.3,4.4
QP031004,13281.0,42.0,26.2,,2014,0.2,3.1
QP031005,14484.0,34.7,19.8,79.3,2014,0.2,3.7
QP031006,13215.0,42.5,13.8,,2014,0.3,3.7
QP031007,12617.0,46.5,15.7,81.3,2014,0.2,3.4
QP031008,15043.0,32.7,12.1,73.4,2014,0.3,5.0
QP031009,13118.0,41.2,24.8,,2014,0.2,2.7
QP031010,13020.0,43.5,16.2,94.0,2014,0.2,3.4
QP031011,13638.0,38.8,18.0,82.1,2014,0.2,3.5
QP031012,13382.0,34.6,17.8,,2014,0.2,3.3
QP031013,14679.0,29.9,26.1,,2014,0.2,3.1
QP031014,13899.0,36.7,21.5,,2014,0.2,3.4
QP031015,13846.0,38.1,,,2014,0.3,3.8
QP031016,13939.0,37.0,23.7,,2014,0.2,3.3
QP031017,13862.0,33.1,,,2014,0.2,2.7
QP031018,13035.0,43.2,,,2014,0.3,3.8
QP031019,14164.0,34.6,19.4,77.0,2014,0.2,3.3
QP032001,12057.0,50.9,23.0,,2014,0.2,3.5
QP033001,14215.0,36.0,30.6,,2014,0.2,2.7
QP033002,14350.0,32.4,22.8,,2014,0.2,2.9
QP033003,14043.0,36.1,25.1,,2014,0.2,3.1
QP033004,13390.0,42.3,12.9,69.8,2014,0.3,4.7
QP033005,13785.0,38.4,21.1,,2014,0.2,2.8
QP033006,14658.0,32.2,18.6,,2014,0.2,3.1
QP033007,12061.0,52.1,22.3,,2014,0.2,2.8
QP033008,14993.0,35.0,8.8,83.9,2014,0.3,5.9
QP033009,12763.0,44.6,19.0,,2014,0.2,3.2
QP033010,14393.0,33.6,15.8,82.9,2014,0.2,3.5
QP033011,14062.0,37.9,20.0,72.5,2014,0.2,3.4
QP033012,13363.0,39.9,19.6,88.9,2014,0.2,3.1
QP033013,13416.0,40.6,26.1,,2014,0.2,2.9
QP033014,13652.0,35.1,19.7,,2014,0.2,2.9
QP033015,13717.0,38.1,28.3,,2014,0.2,2.8
QP033016,13337.0,40.2,21.6,,2014,0.2,2.8
QP033017,13129.0,42.1,18.7,92.6,2014,0.2,2.8
QP033018,14707.0,31.2,17.6,78.0,2014,0.2,3.1
QP033019,14474.0,34.2,,,2014,0.3,3.7
QP033020,13495.0,38.8,25.2,,2014,0.2,2.9
QP033021,13965.0,34.2,20.1,91.3,2014,0.2,3.0
QP033022,13812.0,37.3,21.1,89.1,2014,0.2,3.2
QP033023,15504.0,28.0,,,2014,0.2,3.2
QP034001,11358.0,56.1,15.9,77.2,2014,0.3,4.8
QP034002,11483.0,55.4,18.2,,2014,0.2,3.1
QP034003,10948.0,61.0,17.7,92.3,2014,0.2,3.2
QP034004,13975.0,38.4,15.7,72.0,2014,0.2,3.5
QP034005,11339.0,58.5,17.5,85.0,2014,0.2,3.0
QP034006,11122.0,57.2,12.1,83.4,2014,0.2,3.5
QP034007,12607.0,45.7,26.1,,2014,0.2,3.0
QP034008,12279.0,49.8,12.4,68.5,2014,0.3,4.4
QP034009,12147.0,50.4,30.3,,2014,0.2,3.3
QP034010,13617.0,41.3,12.1,71.9,2014,0.4,6.5
QP034011,13957.0,37.8,29.2,,2014,0.2,2.9
QP034012,13462.0,40.3,21.2,78.1,2014,0.2,3.2
QP034013,13524.0,36.9,25.6,,2014,0.2,2.7
QP034014,12755.0,46.9,19.0,,2014,0.3,4.0
QP034015,13256.0,40.3,,,2014,0.3,4.9
QP034016,12816.0,42.2,23.7,,2014,0.2,2.7
QP034017,11030.0,61.4,21.3,,2014,0.2,2.8
QP034018,13299.0,41.5,17.3,64.8,2014,0.3,4.2
QP034019,12763.0,46.0,18.1,66.6,2014,0.3,4.2
QP034020,14273.0,37.3,16.1,64.7,2014,0.3,3.7
QP034021,12552.0,47.7,18.2,76.0,2014,0.3,4.0
QP034022,12839.0,43.8,16.4,70.2,2014,0.3,3.8
QP035001,13671.0,36.4,19.4,87.9,2014,0.2,2.9
QP035002,12952.0,44.5,16.8,85.7,2014,0.2,3.5
QP035003,13123.0,44.9,16.7,82.2,2014,0.2,3.5
QP035004,12446.0,48.4,17.7,95.0,2014,0.3,3.7
QP035005,12796.0,45.1,16.2,78.9,2014,0.2,3.4
QP035006,13084.0,45.0,20.3,,2014,0.2,3.3
QP035007,13278.0,39.7,,,2014,0.2,3.0
QP036001,12812.0,44.2,18.1,,2014,0.2,2.9
QP036002,11829.0,53.5,21.8,94.4,2014,0.2,3.0
QP036003,13907.0,36.2,19.7,80.9,2014,0.2,3.3
QP036004,13356.0,43.2,20.7,86.0,2014,0.2,3.3
QP037001,13736.0,34.9,,,2014,0.2,2.8
QP037002,12418.0,48.5,19.7,84.5,2014,0.2,3.0
QP037003,13973.0,38.1,15.4,81.2,2014,0.3,3.8
QP037004,14118.0,35.2,14.7,73.7,2014,0.2,3.3
QP037005,12522.0,47.4,16.6,,2014,0.2,2.9
QP037006,11873.0,52.6,17.9,,2014,0.2,3.1
QP037007,13571.0,40.3,22.6,,2014,0.2,3.2
QP037008,13522.0,39.6,20.6,,2014,0.2,2.7
QP037009,11811.0,53.8,20.1,,2014,0.2,3.2
QP037010,14070.0,36.0,25.4,,2014,0.2,3.2
QP037011,13092.0,41.0,16.7,,2014,0.2,3.0
QP037012,13844.0,38.9,23.9,,2014,0.2,2.8
QP038001,13739.0,36.9,18.1,,2014,0.2,2.8
QP038002,13230.0,43.3,18.2,,2014,0.2,3.4
QP038003,12797.0,44.5,17.1,85.6,2014,0.2,3.2
QP038004,13654.0,38.1,24.5,,2014,0.2,2.8
QP038005,14459.0,31.0,14.0,84.2,2014,0.2,3.0
QP038006,12670.0,46.7,15.3,,2014,0.2,3.1
QP038007,13423.0,41.2,17.4,74.9,2014,0.3,3.7
QP038008,12649.0,46.5,19.3,93.3,2014,0.2,3.2
QP038009,13257.0,39.6,14.3,82.0,2014,0.3,5.0
QP038010,13916.0,35.0,19.1,83.0,2014,0.2,2.9
QP038011,14201.0,34.1,16.3,81.6,2014,0.2,3.4
QP038012,13913.0,39.4,20.4,,2014,0.2,2.6
QP038013,12849.0,44.8,17.5,,2014,0.2,2.8
QP038014,13785.0,37.3,24.7,,2014,0.2,2.8
QP038015,13002.0,43.4,19.8,,2014,0.2,2.9
QP038016,13485.0,39.6,20.1,89.5,2014,0.2,3.2
QP038017,13573.0,41.2,17.6,80.6,2014,0.3,3.8
QP038018,12674.0,45.9,,76.3,2014,0.3,3.6
QP038019,13576.0,40.5,,69.1,2014,0.3,4.5
QP038020,14036.0,34.7,,,2014,0.2,3.0
QP038021,14658.0,29.1,17.4,,2014,0.2,2.8
QP038022,13268.0,41.4,,,2014,0.2,2.9
QP038023,13605.0,37.8,14.3,,2014,0.2,3.1
QP038024,12440.0,47.6,14.8,84.0,2014,0.2,3.5
QP038025,14047.0,38.3,16.2,,2014,0.2,3.1
QP038026,13282.0,41.6,15.0,80.2,2014,0.2,3.3
QP039001,11496.0,56.8,16.5,91.3,2014,0.2,3.1
QP039002,12784.0,43.8,18.6,89.0,2014,0.2,3.2
QP039003,12952.0,43.7,,,2014,0.2,2.8
QP039004,13584.0,38.5,,,2014,0.2,3.1
QP040001,14523.0,31.4,13.3,79.4,2014,0.3,3.5
QP040002,13537.0,37.4,26.9,,2014,0.2,3.1
QP040003,14832.0,32.4,19.7,76.8,2014,0.2,3.0
QP040004,12619.0,46.3,25.4,,2014,0.2,2.8
QP040005,13740.0,42.2,22.0,,2014,0.2,3.6
QP041001,11825.0,53.2,18.1,92.0,2014,0.2,3.2
QP041002,11941.0,52.4,16.5,,2014,0.2,3.2
QP041003,11636.0,54.1,17.6,,2014,0.2,3.5
QP042001,12781.0,44.8,22.0,,2014,0.2,2.9
QP042002,14019.0,34.2,13.9,76.5,2014,0.2,2.8
QP042003,12914.0,44.2,,,2014,0.2,2.8
QP042004,13673.0,39.9,16.0,83.5,2014,0.2,3.1
QP042005,14587.0,35.2,19.6,86.1,2014,0.2,2.7
QP042006,13079.0,42.7,15.2,86.9,2014,0.2,3.3
QP042007,13012.0,44.0,,,2014,0.2,2.9
QP042008,12960.0,44.5,16.5,71.6,2014,0.3,3.8
QP042009,14166.0,35.0,11.8,71.9,2014,0.2,3.5
QP042010,13294.0,41.6,,77.5,2014,0.2,3.4
QP042011,13111.0,44.0,12.6,58.8,2014,0.2,3.3
QP042012,13095.0,42.6,13.5,73.0,2014,0.3,3.9
QP042013,12928.0,43.8,11.3,79.4,2014,0.2,3.0
QP042014,13831.0,40.6,10.9,70.6,2014,0.3,4.1
QP042015,12099.0,52.5,18.9,,2014,0.2,2.8
QP042016,13838.0,37.4,18.2,,2014,0.2,2.9
QP042017,13042.0,42.2,17.5,,2014,0.2,2.8
QP042018,11558.0,55.6,13.5,77.4,2014,0.2,3.3
QP042019,12070.0,52.0,18.7,72.5,2014,0.2,3.4
QP043001,12823.0,46.8,14.9,,2014,0.2,3.3
QP043002,14039.0,35.4,,78.4,2014,0.2,3.0
QP044001,13252.0,41.4,22.3,85.2,2014,0.2,3.3
QP044002,12752.0,46.5,24.4,,2014,0.2,3.3
QP044003,12032.0,50.9,19.4,,2014,0.3,3.6
QP044004,12468.0,46.9,17.0,,2014,0.2,3.0
QP044005,13822.0,37.8,16.6,74.8,2014,0.2,3.3
QP044006,12197.0,50.2,20.1,,2014,0.2,3.1
QP044007,13076.0,41.9,22.7,,2014,0.2,3.0
QP044008,13113.0,43.0,17.8,94.5,2014,0.2,3.0
QP044009,12694.0,46.8,16.3,,2014,0.2,2.9
QP044010,13191.0,40.6,22.3,,2014,0.2,2.8
QP044011,13079.0,40.5,20.7,,2014,0.2,2.8
QP044012,13918.0,35.7,15.5,,2014,0.2,3.0
QP044013,13260.0,40.6,19.8,,2014,0.2,3.2
QP044014,12363.0,48.9,17.2,95.0,2014,0.2,3.0
QP044015,13075.0,42.4,25.0,,2014,0.2,2.8
QP044016,13471.0,40.5,,,2014,0.2,3.2
QP044017,13704.0,38.4,18.5,,2014,0.2,3.0
QP044018,14097.0,36.1,22.5,76.0,2014,0.2,3.2
QP044019,11630.0,56.7,17.1,,2014,0.2,2.9
QP045001,13539.0,38.9,19.1,,2014,0.2,2.9
QP045002,11993.0,52.3,,76.0,2014,0.2,3.5
QP045003,11868.0,53.1,17.4,90.5,2014,0.2,3.2
QP045004,13869.0,37.5,14.9,83.8,2014,0.2,3.3
QP045005,11597.0,53.9,18.1,87.7,2014,0.2,3.3
QP045006,13373.0,42.1,22.4,,2014,0.2,3.6
QP045007,12529.0,48.2,23.3,,2014,0.2,3.4
QP045008,14234.0,32.1,,70.5,2014,0.2,3.5
QP045009,14404.0,31.3,25.0,,2014,0.2,2.8
QP045010,12611.0,46.7,15.8,88.1,2014,0.2,3.3
QP045011,12589.0,47.4,14.9,85.6,2014,0.3,3.8
QP045012,13602.0,41.9,23.4,,2014,0.2,3.3
QP045013,13185.0,40.8,,,2014,0.3,3.6
QP045014,11477.0,56.9,17.6,76.0,2014,0.2,3.6
QP045015,13508.0,37.4,16.1,79.8,2014,0.2,3.4
QP045016,10763.0,64.5,15.2,,2014,0.2,2.9
QP045017,12209.0,50.5,14.8,,2014,0.2,3.2
QP045018,12909.0,43.8,24.9,,2014,0.2,2.9
QP045019,11568.0,56.5,,,2014,0.2,3.4
QP046001,13845.0,36.1,21.7,,2014,0.3,3.8
QP047001,12190.0,50.5,22.2,,2014,0.2,2.8
QP047002,10796.0,65.1,21.0,,2014,0.2,2.8
QP047003,14672.0,35.1,16.0,79.3,2014,0.3,4.4
QP047004,13330.0,43.1,,71.6,2014,0.3,4.4
QP047005,13877.0,37.2,13.7,77.3,2014,0.3,4.1
QP047006,12818.0,45.9,15.6,80.6,2014,0.2,3.6
QP047007,14279.0,36.5,15.8,69.5,2014,0.3,4.2
QP049001,13352.0,40.8,21.3,93.7,2014,0.2,3.2
QP049002,12889.0,45.4,17.7,90.7,2014,0.2,3.1
QP049003,11811.0,55.1,19.5,,2014,0.3,3.6
QP049004,12697.0,45.4,22.3,,2014,0.2,2.8
QP049005,12740.0,45.7,21.4,93.0,2014,0.2,3.0
QP049006,14545.0,32.7,21.3,,2014,0.2,2.6
QP049007,12851.0,43.1,21.9,,2014,0.2,2.9
QP049008,12215.0,50.0,17.4,,2014,0.2,3.0
QP049009,12168.0,50.2,21.5,,2014,0.2,3.0
QP049010,12334.0,49.0,14.4,,2014,0.2,2.8
QP049011,13557.0,40.3,19.2,82.9,2014,0.2,2.9
QP049012,13685.0,40.1,22.0,,2014,0.2,2.7
QP049013,13395.0,40.9,23.5,88.3,2014,0.2,2.9
QP050001,13727.0,36.6,16.3,,2014,0.2,3.1
QP050002,14297.0,34.5,17.4,,2014,0.2,3.0
QP050003,13858.0,36.1,15.3,,2014,0.2,3.3
QP050004,13461.0,41.2,24.5,,2014,0.2,2.9
QP050005,12803.0,44.8,19.6,94.6,2014,0.2,3.2
QP050006,14324.0,34.5,21.1,,2014,0.2,2.8
QP050007,14823.0,34.6,19.9,,2014,0.3,3.9
QP051001,12686.0,46.7,18.4,92.2,2014,0.2,3.1
QP051002,12591.0,46.4,21.5,,2014,0.2,2.9
QP051003,10830.0,61.3,25.3,,2014,0.2,3.2
QP051004,13322.0,41.0,20.6,93.4,2014,0.2,3.1
QP051005,12429.0,47.8,20.7,86.6,2014,0.2,3.2
QP051006,13562.0,39.9,23.8,,2014,0.2,3.2
QP051007,13450.0,39.3,22.4,,2014,0.2,3.1
QP051008,13703.0,39.0,20.1,,2014,0.2,3.2
QP051009,13011.0,44.3,16.9,85.9,2014,0.3,3.5
QP051010,13209.0,40.8,14.8,,2014,0.2,2.8
QP051011,11556.0,54.2,15.4,,2014,0.2,2.8
QP051012,12582.0,46.3,19.7,,2014,0.2,3.0
QP052001,12425.0,47.9,20.3,,2014,0.2,3.0
QP052002,13318.0,41.2,16.1,,2014,0.2,3.1
QP052003,11921.0,52.9,19.5,,2014,0.2,3.4
QP052004,12321.0,49.1,18.3,95.0,2014,0.2,3.0
QP053001,12574.0,46.2,18.5,,2014,0.2,2.9
QP053002,11114.0,61.8,21.0,,2014,0.2,2.8
QP053003,13669.0,41.0,16.9,80.2,2014,0.2,3.2
QP054001,13301.0,39.9,23.9,,2014,0.2,2.8
QP054002,13303.0,40.9,20.0,82.1,2014,0.3,3.7
QP054003,13245.0,42.7,17.4,68.5,2014,0.3,4.8
QP054004,13098.0,44.2,14.0,,2014,0.3,4.1
QP054005,12723.0,45.8,16.0,85.3,2014,0.3,4.0
QP054006,13655.0,38.6,20.2,,2014,0.2,2.9
QP054007,14346.0,35.1,22.2,,2014,0.2,3.3
QP054008,13962.0,37.3,,80.2,2014,0.3,3.8
QP054009,14060.0,37.3,17.6,82.1,2014,0.3,4.3
QP054010,11198.0,56.3,21.3,,2014,0.2,3.0
QP054011,12518.0,47.9,17.9,,2014,0.2,2.9
QP054012,11364.0,57.4,16.4,,2014,0.2,2.8
QP054013,13103.0,43.6,19.2,89.6,2014,0.2,3.4
QP054014,12894.0,45.1,25.4,,2014,0.2,3.0
QP054015,11312.0,56.7,17.5,91.6,2014,0.2,3.3
QP054016,13212.0,42.7,16.2,82.5,2014,0.2,3.4
QP054017,15157.0,33.8,13.8,82.1,2014,0.3,4.7
QP054018,13643.0,40.5,20.2,79.8,2014,0.2,2.9
QP055001,13080.0,41.2,15.3,,2014,0.2,3.2
QP055002,11296.0,56.8,28.5,,2014,0.2,2.8
QP055003,13547.0,40.7,20.3,86.4,2014,0.3,4.3
QP056001,12635.0,46.9,25.9,,2014,0.2,2.9
QP056002,12765.0,44.9,26.3,,2014,0.2,3.3
QP056003,13682.0,39.6,21.6,87.4,2014,0.2,3.1
QP056004,13421.0,41.8,17.5,75.0,2014,0.3,3.7
QP056005,12911.0,46.0,17.2,,2014,0.3,3.7
QP056006,11632.0,54.6,23.2,,2014,0.2,3.1
QP056007,12743.0,46.3,23.6,,2014,0.2,2.7
QP056008,11874.0,51.9,24.0,81.5,2014,0.3,3.5
QP056009,11811.0,52.5,23.7,,2014,0.2,3.0
QP057001,14594.0,30.1,14.8,78.3,2014,0.3,3.8
QP057002,13117.0,43.0,14.5,95.0,2014,0.2,2.8
QP057003,12442.0,47.9,16.1,86.7,2014,0.2,2.9
QP057004,11888.0,51.2,23.0,,2014,0.2,3.4
QP057005,13154.0,42.4,19.7,91.0,2014,0.2,3.3
QP057006,12035.0,50.9,17.9,86.2,2014,0.2,3.2
QP057007,12921.0,41.9,18.9,,2014,0.2,3.4
QP057008,12001.0,52.8,15.3,,2014,0.2,3.0
QP057009,12810.0,46.1,24.0,73.1,2014,0.2,3.2
QP057010,11519.0,56.2,26.9,,2014,0.2,2.7
QP057011,13572.0,39.5,17.8,81.9,2014,0.3,4.6
QP057012,12997.0,44.5,16.2,,2014,0.2,2.7
QP057013,14309.0,33.2,22.0,,2014,0.2,3.2
QP057014,12999.0,42.8,17.4,,2014,0.2,2.5
QP057015,13084.0,42.3,16.9,86.0,2014,0.2,3.0
QP057016,13083.0,44.1,,,2014,0.2,3.1
QP057017,13296.0,41.9,13.8,,2014,0.2,3.0
