annee,revenu_median_qpv,taux_pauvrete_qpv,revenu_median_controle,taux_pauvrete_controle
2012,12970.370578778136,41.655225080385854,16671.118981874148,26.68036074379598
2013,13170.776083467095,42.01605136436597,16956.577842847397,27.02811405635365
2014,13243.06757843926,42.47254428341385,17074.938268733127,27.25105544599123
2021,14718.908163265307,45.079693877551016,19146.97451052826,27.751293422025128
