code,taux_pauvrete_pre,nom_qp,insee_com,lib_com
QP083004,46.86666666666667,Centre Ville,83086,Le Muy
QP083005,44.333333333333336,Romain Rolland,83062,La Garde
QP083006,45.96666666666667,Centre Ville,83069,Hyères
QP083007,44.96666666666666,Val Des Rougières,83069,Hyères
QP083008,49.0,Berthe,83126,La Seyne-sur-Mer
QP083009,41.53333333333333,Centre Ville,83126,La Seyne-sur-Mer
QP083010,50.93333333333334,La Beaucaire,83137,Toulon
QP083011,40.9,La Florane,83137,Toulon
QP083012,64.89999999999999,Pontcarral,83137,Toulon
QP083013,38.26666666666667,Pont Du Las- Rodeilhac,83137,Toulon
QP083014,41.56666666666666,Beaulieu- Sainte Marie,83137,Toulon
QP083015,65.56666666666668,Sainte Musse,83137,Toulon
QP083016,52.300000000000004,Centre Ville,83137,Toulon
QP083017,49.6,Le Jonquet- La Baume- Le Guynemer,83137,Toulon
QP083018,57.03333333333333,La Gabelle,83061,Fréjus
QP083019,42.73333333333333,Centre Ville - Le Vergeiras,83073,Le Luc
QP083020,40.9,Centre Ville,83023,Brignoles
QP083021,50.333333333333336,Le Carami,83023,Brignoles
QP084001,39.53333333333333,Quartiers Griffons Et Centre Ville,84129,Sorgues
QP084002,53.46666666666667,Monclar Champfleury Rocade Sud Barbière Croix Des Oiseaux,84007,Avignon
QP084003,51.56666666666666,Quartiers Nord Est,84007,Avignon
QP084004,54.300000000000004,Quartier De Saint Chamand,84007,Avignon
QP084005,52.699999999999996,Quartiers Camp Rambaud - Les Mérides,84092,Le Pontet
QP084007,36.06666666666666,Quartiers Centre Ancien Et Sud Ouest,84089,Pertuis
QP084008,55.76666666666667,Centre Ville,84031,Carpentras
QP084009,54.4,Amandier - Eléphants,84031,Carpentras
QP084010,72.8,Pous Du Plan,84031,Carpentras
QP084011,43.03333333333333,Quintine - Villemarie - Ubac - Le Parc,84031,Carpentras
QP084012,52.0,Fourchevieilles Comtadines L'Aygues,84087,Orange
QP084013,53.96666666666667,Quartiers Nogent Saint Clément,84087,Orange
QP084014,49.333333333333336,Quartiers Générat Establet,84129,Sorgues
QP084015,42.300000000000004,Quartier De Chaffunes,84129,Sorgues
QP084016,42.73333333333333,Quartiers Du Vieux Moulin Aux Mûriers,84080,Monteux
QP084017,45.699999999999996,Centre Ancien Et Quartier De Saint Michel,84003,Apt
QP084018,47.5,Quartiers Nord - Ouest,84054,L'Isle-sur-la-Sorgue
QP084019,47.5,Centre ancien - Les Tours - La Gaillarde - Mistral - Sévigné,84138,Valréas
QP084020,54.26666666666667,Quartiers Dr Ayme Condamines Barillon Saint Martin Bon Puits Saint Gilles Ratacans,84035,Cavaillon
QP084021,59.4,Quartiers La Clède Gare Route De Pertuis Saint Anne,84035,Cavaillon
QP084022,50.43333333333334,Nord Du Centre Ancien Giono Ouest,84019,Bollène
QP085001,40.666666666666664,Jean Yole - Pyramides,85191,La Roche-sur-Yon
QP085002,42.73333333333333,Vigne-aux-Roses,85191,La Roche-sur-Yon
QP085003,34.800000000000004,Liberté - Zola,85191,La Roche-sur-Yon
QP085004,42.43333333333334,Centre - Moulins Liots,85092,Fontenay-le-Comte
QP086001,51.9,Lac Renardières Ozon,86066,Châtellerault
QP086002,38.733333333333334,Châteauneuf Centre Ville,86066,Châtellerault
QP086003,43.96666666666667,Bel Air,86194,Poitiers
QP086004,52.26666666666667,Trois Cités,86194; 86214,Poitiers; Saint-Benoît
QP086005,39.333333333333336,Couronneries,86041; 86194,Buxerolles; Poitiers
QP086006,39.36666666666667,Beaulieu,86194,Poitiers
QP087001,57.93333333333334,Portes Ferrées,87085,Limoges
QP087002,57.76666666666667,La Bastide,87085,Limoges
QP087003,38.9,Le Sablard,87085,Limoges
QP087004,48.9,Beaubreuil,87085,Limoges
QP087005,59.833333333333336,Val De L'Aurence Sud,87085,Limoges
QP087006,50.333333333333336,Val De L'Aurence Nord,87085,Limoges
QP087007,36.93333333333334,Les Coutures,87085,Limoges
QP087008,41.43333333333334,Bellevue,87085,Limoges
QP087009,38.0,Le Vigenal,87085,Limoges
QP088001,50.166666666666664,Bitola,88160,Épinal
QP088002,56.6,La Justice,88160,Épinal
QP088003,45.56666666666666,Le Haut Du Gras,88209,Golbey
QP088004,44.76666666666667,Le Rhumont,88383,Remiremont
QP088005,48.666666666666664,Saint Roch - L'Orme,88413,Saint-Dié-des-Vosges
QP088006,48.46666666666667,Kellermann,88413,Saint-Dié-des-Vosges
QP089001,39.1,La Rive Droite,89024,Auxerre
QP089002,44.4,Les Brichères - Sainte Geneviève,89024,Auxerre
QP089003,53.76666666666667,Les Rosoirs,89024,Auxerre
QP089004,43.0,Pompidou-Ravel,89257,Migennes
QP089005,52.4,La Madeleine,89206,Joigny
QP089006,49.666666666666664,Arènes - Champs Plaisants,89387,Sens
QP089007,38.26666666666667,Les Chaillots,89387,Sens
QP090001,35.300000000000004,Bougenel - Mulhouse,90010,Belfort
QP090002,56.833333333333336,Les Glacis Du Château,90010,Belfort
QP090003,37.4,Dardel La Méchelle,90010,Belfort
QP090004,45.26666666666667,Résidences Le Mont,90008; 90010,Bavilliers; Belfort
QP090005,42.833333333333336,Arsot Ganghoffer,90075; 90099,Offemont; Valdoie
QP091001,25.03333333333333,Le Bois Des Roches,91570,Saint-Michel-sur-Orge
QP091002,52.166666666666664,Les Tarterêts,91174,Corbeil-Essonnes
QP091003,35.6,Montconseil,91174,Corbeil-Essonnes
QP091004,35.199999999999996,La Nacelle,91174,Corbeil-Essonnes
QP091005,34.46666666666667,Rive Droite,91174,Corbeil-Essonnes
QP091006,33.766666666666666,Quartier Ouest,91692,Les Ulis
QP091007,30.833333333333332,Les Ardrets,91103,Brétigny-sur-Orge
QP091008,33.03333333333333,Les Aunettes,91235,Fleury-Mérogis
QP091009,31.833333333333332,La Grange Aux Cerfs,91549,Sainte-Geneviève-des-Bois
QP091010,35.333333333333336,Les Aunettes,91549,Sainte-Geneviève-des-Bois
QP091011,40.199999999999996,Les Hautes Mardelles,91114,Brunoy
QP091012,31.066666666666666,Plaine - Cinéastes,91215,Épinay-sous-Sénart
QP091013,32.166666666666664,Le Vieillet,91514,Quincy-sous-Sénart
QP091014,29.866666666666664,Bel Air - Rocade,91345,Longjumeau
QP091015,34.43333333333333,Bièvre Poterne - Zola,91377,Massy
QP091016,34.766666666666666,Le Canal,91228,Évry-Courcouronnes
QP091017,36.166666666666664,Pyramides - Bois Sauvage,91228,Évry-Courcouronnes
QP091018,30.166666666666668,Les Aunettes,91228,Évry-Courcouronnes
QP091019,33.36666666666667,Champtier Du Coq,91228,Évry-Courcouronnes
QP091020,36.53333333333333,Petit Bourg,91228,Évry-Courcouronnes
QP091021,31.066666666666663,Le Parc Aux Lièvres,91228,Évry-Courcouronnes
QP091022,31.666666666666668,Les Passages,91228,Évry-Courcouronnes
QP091023,30.53333333333333,Les Epinettes,91228,Évry-Courcouronnes
QP091024,32.45,Champs Elysées,91228,Évry-Courcouronnes
QP091025,31.566666666666666,Le Plateau,91521,Ris-Orangis
QP091026,39.4,La Grande Borne - Le Plateau,91687,Viry-Châtillon
QP091027,53.166666666666664,Grigny 2,91286,Grigny
QP091028,29.066666666666666,Le Noyer Renard,91027,Athis-Mons
QP091029,25.900000000000002,Clos Nollet,91027,Athis-Mons
QP091030,35.6,Grand Vaux,91589,Savigny-sur-Orge
QP091031,33.199999999999996,Les Bergeries,91201; 91657,Draveil; Vigneux-sur-Seine
QP091032,31.733333333333334,La Forêt,91421,Montgeron
QP091033,31.900000000000002,La Croix Blanche,91657,Vigneux-sur-Seine
QP091034,33.300000000000004,La Prairie De L'Oly,91421; 91657,Montgeron; Vigneux-sur-Seine
QP091035,56.0,Quartier Sud,91021,Arpajon
QP091036,32.9,Le Tiec,91207,Égly
QP091037,38.333333333333336,Plateau De Guinette,91223,Étampes
QP091038,45.43333333333334,La Croix  De Vernailles,91223,Étampes
QP091039,28.96666666666667,Opéra,91377,Massy
QP092002,35.833333333333336,Université I,92050,Nanterre
QP092003,30.2,Université II,92050,Nanterre
QP092004,30.3,Noyer Doré,92002,Antony
