unit_id,annee,traite,commune_cluster,revenu_median,taux_pauvrete,log_revenu
QPV_QP001001,2012,1,01053,13748.0,34.9,9.528648637969724
QPV_QP001001,2013,1,01053,13501.0,38.6,9.510519035757246
QPV_QP001001,2014,1,01053,13637.0,38.8,9.520541965857834
QPV_QP001001,2015,1,01053,13365.0,40.9,9.50039462857302
QPV_QP001001,2016,1,01053,13690.0,40.0,9.524420918282496
QPV_QP001001,2017,1,01053,13790.0,38.9,9.531698970787348
QPV_QP001001,2018,1,01053,14180.0,41.4,9.55958780008612
QPV_QP001001,2019,1,01053,14190.0,41.9,9.560292770154089
QPV_QP001001,2020,1,01053,14480.0,42.2,9.580523665939708
QPV_QP001001,2021,1,01053,14630.0,45.0,9.59082949401417
QPV_QP001002,2012,1,01053,12497.0,44.5,9.433243894485784
QPV_QP001002,2013,1,01053,12555.0,46.2,9.437874271591683
QPV_QP001002,2014,1,01053,12670.0,47.3,9.446992273315184
QPV_QP001002,2015,1,01053,12313.0,50.1,9.418410893792872
QPV_QP001002,2016,1,01053,12280.0,52.1,9.415727201701133
QPV_QP001002,2017,1,01053,12850.0,48.4,9.461099090323366
QPV_QP001002,2018,1,01053,13130.0,49.4,9.482654967296842
QPV_QP001002,2019,1,01053,13300.0,48.2,9.495519314209846
QPV_QP001002,2020,1,01053,13630.0,47.7,9.52002852469058
QPV_QP001002,2021,1,01053,13620.0,53.0,9.519294579703503
QPV_QP001003,2012,1,01354,14922.0,28.4,9.61059191303146
QPV_QP001003,2013,1,01354,14706.0,30.4,9.596010852756168
QPV_QP001003,2014,1,01354,15318.0,27.1,9.63678388646954
QPV_QP001003,2015,1,01354,14985.0,33.3,9.614804979750764
QPV_QP001003,2016,1,01354,15420.0,31.1,9.64342064711732
QPV_QP001003,2017,1,01354,15680.0,29.4,9.6601412939044
QPV_QP001003,2018,1,01354,15190.0,36.0,9.62839259558982
QPV_QP001003,2019,1,01354,15350.0,37.7,9.638870753015343
QPV_QP001003,2020,1,01354,16820.0,31.9,9.73032393352694
QPV_QP001003,2021,1,01354,17330.0,31.0,9.760194382709653
QPV_QP001005,2012,1,01004,13118.0,39.0,9.48174061185368
QPV_QP001005,2013,1,01004,12724.0,42.9,9.451245252869034
QPV_QP001005,2014,1,01004,13245.0,41.9,9.49137540170617
QPV_QP001005,2015,1,01004,13042.0,44.8,9.475930197953147
QPV_QP001005,2016,1,01004,12940.0,45.6,9.468078568054892
QPV_QP001005,2017,1,01004,13000.0,47.0,9.472704636443671
QPV_QP001005,2018,1,01004,13380.0,47.0,9.50151633368222
QPV_QP001005,2019,1,01004,14210.0,41.7,9.561701221091148
QPV_QP001005,2020,1,01004,14710.0,42.5,9.596282813595485
QPV_QP001005,2021,1,01004,14570.0,47.0,9.58671989918925
QPV_QP001006,2012,1,01283,12945.0,40.3,9.468464892185638
QPV_QP001006,2013,1,01283,13325.0,40.1,9.497397249034046
QPV_QP001006,2014,1,01283,13221.0,39.9,9.489561753510095
QPV_QP001006,2015,1,01283,13177.0,41.3,9.486228164545253
QPV_QP001006,2016,1,01283,13340.0,41.9,9.498522319469616
QPV_QP001006,2017,1,01283,13710.0,41.7,9.52588077255636
QPV_QP001006,2018,1,01283,13780.0,44.1,9.53097354456765
QPV_QP001006,2019,1,01283,13660.0,44.9,9.52222713312478
QPV_QP001006,2020,1,01283,14160.0,43.1,9.558176367247713
QPV_QP001006,2021,1,01283,14140.0,47.0,9.556762939450564
QPV_QP002001,2012,1,02691,12321.0,46.9,9.419060402624668
QPV_QP002001,2013,1,02691,12424.0,47.5,9.427385364828522
QPV_QP002001,2014,1,02691,12521.0,47.6,9.435162513668947
QPV_QP002001,2015,1,02691,12507.0,48.7,9.434043766548909
QPV_QP002001,2016,1,02691,12640.0,49.5,9.444621667700847
QPV_QP002001,2017,1,02691,12960.0,47.5,9.469622969906265
QPV_QP002001,2018,1,02691,13140.0,49.7,9.4834162920386
QPV_QP002001,2019,1,02691,13260.0,49.2,9.492507263739853
QPV_QP002001,2020,1,02691,13700.0,48.0,9.525151111816216
QPV_QP002001,2021,1,02691,13540.0,52.0,9.513403546466266
QPV_QP002002,2012,1,02691,13663.0,38.4,9.522446728338489
QPV_QP002002,2013,1,02691,13800.0,37.3,9.532423871145296
QPV_QP002002,2014,1,02691,13709.0,40.3,9.5258078304359
QPV_QP002002,2015,1,02691,13944.0,38.8,9.542804587199855
QPV_QP002002,2016,1,02691,14280.0,37.3,9.566615235893575
QPV_QP002002,2017,1,02691,14400.0,38.0,9.574983485564092
QPV_QP002002,2018,1,02691,14670.0,37.8,9.593559871137028
QPV_QP002002,2019,1,02691,14700.0,37.8,9.595602772766828
QPV_QP002002,2020,1,02691,15150.0,38.3,9.625755810937516
QPV_QP002002,2021,1,02691,14980.0,43.0,9.61447125707121
QPV_QP002003,2012,1,02691,12609.0,44.9,9.442166123673228
QPV_QP002003,2013,1,02691,12702.0,46.5,9.44951474036292
QPV_QP002003,2014,1,02691,12794.0,46.7,9.456731590010085
QPV_QP002003,2015,1,02691,12652.0,46.3,9.44557058442554
QPV_QP002003,2016,1,02691,12890.0,47.1,9.464207095933231
QPV_QP002003,2017,1,02691,13350.0,43.4,9.499271663828395
QPV_QP002003,2018,1,02691,13320.0,47.9,9.49702194409438
QPV_QP002003,2019,1,02691,13690.0,45.9,9.524420918282496
QPV_QP002003,2020,1,02691,13860.0,46.7,9.536762272743896
QPV_QP002003,2021,1,02691,13550.0,53.0,9.514141826307847
QPV_QP002004,2012,1,02691,11428.0,53.7,9.343821763350665
QPV_QP002004,2013,1,02691,11308.0,57.5,9.33326571881348
QPV_QP002004,2014,1,02691,11836.0,52.8,9.3789010135201
QPV_QP002004,2015,1,02691,11504.0,56.0,9.350450079960828
QPV_QP002004,2016,1,02691,11830.0,56.7,9.378393956972433
QPV_QP002004,2017,1,02691,12130.0,53.8,9.403437001938096
QPV_QP002004,2018,1,02691,12380.0,54.7,9.423837546238587
QPV_QP002004,2019,1,02691,12500.0,55.0,9.433483923290392
QPV_QP002004,2020,1,02691,12960.0,52.5,9.469622969906265
QPV_QP002004,2021,1,02691,13060.0,57.0,9.47730940283042
QPV_QP002009,2012,1,02173,10944.0,58.0,9.30054663986233
QPV_QP002009,2013,1,02173,11235.0,55.8,9.326789184619429
QPV_QP002009,2014,1,02173,11375.0,56.8,9.33917324381915
QPV_QP002009,2015,1,02173,11274.0,57.6,9.33025446864152
QPV_QP002009,2016,1,02173,11460.0,58.2,9.346617990268731
QPV_QP002009,2017,1,02173,11830.0,58.4,9.378393956972433
QPV_QP002009,2018,1,02173,12030.0,58.7,9.395158808968723
