unit_id,annee,traite,commune_cluster,revenu_median,taux_pauvrete,log_revenu
IRIS_330631105,2012,0,33063,15340.0,31.4754098360656,9.638219074921247
IRIS_330631106,2012,0,33063,14934.6666666667,31.2258830513506,9.611440411463523
IRIS_330631209,2012,0,33063,15986.5,28.9934354485777,9.679499895064534
IRIS_331190101,2012,0,33119,13900.0,37.6686876589087,9.539644119118783
IRIS_331190102,2012,0,33119,13137.1428571429,37.8771892804389,9.483198829821808
IRIS_331190105,2012,0,33119,14643.75,29.2248062015504,9.591768902256106
IRIS_331190107,2012,0,33119,12667.2222222222,43.2163080407701,9.446773008727728
IRIS_331190108,2012,0,33119,17789.0476190476,19.634394041977,9.786338244603334
IRIS_332490102,2012,0,33249,13986.1111111111,,9.545820052684643
IRIS_340320101,2012,0,34032,11711.5,51.2516469038208,9.368326544032964
IRIS_340320102,2012,0,34032,11914.0,49.7777777777778,9.385469458188632
IRIS_340320103,2012,0,34032,9660.0,67.1668822768435,9.175748927206564
IRIS_340320104,2012,0,34032,10756.6666666667,56.0577288264337,9.2832809963779
IRIS_340320105,2012,0,34032,11493.5,52.7822711096732,9.349536937164471
IRIS_340320301,2012,0,34032,11125.0,55.502907602843,9.31695010703444
IRIS_340320803,2012,0,34032,10565.0,61.7268576172686,9.265301930050157
IRIS_341720401,2012,0,34172,11683.0,51.819438046983,9.365890072717148
IRIS_341720402,2012,0,34172,11586.1538461538,52.2507659674758,9.357566030193802
IRIS_341720403,2012,0,34172,11157.1428571429,57.2671366431678,9.319835186772467
IRIS_341720404,2012,0,34172,10458.8888888889,63.7084592145015,9.255207507205048
IRIS_341720501,2012,0,34172,12370.8695652174,46.9158449896813,9.423099759214765
IRIS_341720502,2012,0,34172,12248.75,46.3914174252276,9.413179169950029
IRIS_341720503,2012,0,34172,12974.5,43.0947216196674,9.4707411716461
IRIS_341720702,2012,0,34172,13541.6666666667,37.925901422428,9.51352663096393
IRIS_341720703,2012,0,34172,12983.0,42.9139072847682,9.471396088360253
IRIS_341720705,2012,0,34172,14443.0434782609,34.6469622331691,9.577968157431116
IRIS_341721502,2012,0,34172,15207.5,30.639245480744,9.62954400619486
IRIS_341722502,2012,0,34172,15168.0,33.9324449953517,9.626943224494804
IRIS_341722801,2012,0,34172,15359.0,33.9771729587357,9.639456900415627
IRIS_343010102,2012,0,34301,15557.0,27.0798319327731,9.652265977087122
IRIS_343010103,2012,0,34301,14179.3333333333,35.1796106762994,9.559540784406378
IRIS_343010104,2012,0,34301,14513.5714285714,30.6155075939249,9.582839451261798
IRIS_343010402,2012,0,34301,15659.4444444444,26.8478779208393,9.658829492826383
IRIS_343011201,2012,0,34301,14554.0,30.7692307692308,9.585621148907032
IRIS_352380501,2012,0,35238,12659.3333333333,44.4311948485571,9.446150035017249
IRIS_352381004,2012,0,35238,14324.4444444444,35.1088201603665,9.569722758593151
IRIS_352381102,2012,0,35238,13326.0,39.6869639794168,9.497472293122483
IRIS_352381104,2012,0,35238,12176.25,47.6452119309262,9.407242612085165
IRIS_352381105,2012,0,35238,11989.5238095238,48.3050847457627,9.391788531596827
IRIS_352381106,2012,0,35238,12519.3333333333,45.082376435347,9.43502939510004
IRIS_352381203,2012,0,35238,13590.0,37.7665876777251,9.51708950714519
